id,name,shortname,matching1,matching2,English name
1,Genesis ,,,,Genesis
2,Eksodus ,,,,Exodus
3,Levitikus ,,,,Leviticus
4,Numeri ,,,,Numbers
5,Deuteronomium ,,,,Deuteronomy
6,Josua ,,,,Joshua
7,Rigters ,,,,Judges
8,Rut ,,,,Ruth
9,1 Samuel ,,,,1 Samuel
10,2 Samuel ,,,,2 Samuel
11,1 Konings,,,,1 Kings
12,2 Konings ,,,,2 Kings
13,1 Kronieke ,,,,1 Chronicles
14,2 Kronieke ,,,,2 Chronicles
15,Esra ,,,,Ezra
16,Nehemia,,,,Nehemiah
17,Ester ,,,,Esther
18,Job ,,,,Job
19,Psalms ,,,,Psalms
20,Spreuke van Salomo ,,,,Proverbs
21,Prediker ,,,,Ecclesiastes
22,Hooglied van Salomo ,,,,Song of Solomon
23,Jesaja ,,,,Isaiah
24,Jeremia ,,,,Jeremiah
25,Klaagliedere van Jeremia ,,,,Lamentations
26,Esegiël ,,,,Ezekiel
27,Daniël ,,,,Daniel
28,Hosea ,,,,Hosea
29,Joël ,,,,Joel
30,Amos ,,,,Amos
31,Obadja ,,,,Obadiah
32,Jona ,,,,Jonah
33,Miga ,,,,Micah
34,Nahum ,,,,Nahum
35,Habakuk ,,,,Habakkuk
36,Sefanja ,,,,Zephaniah
37,Haggai ,,,,Haggai
38,Sagaria ,,,,Zechariah
39,Maleagi ,,,,Malachi
40,Matteus ,,,,Matthew
41,Markus ,,,,Mark
42,Lukas ,,,,Luke
43,Johannes ,,,,John
44,Die handelinge van die apostels ,,,,Acts
45,Romeine ,,,,Romans
46,1 Korintiërs ,,,,1 Corinthians
47,2 Korintiërs ,,,,2 Corinthians
48,Galasiërs ,,,,Galatians
49,Effesiërs ,,,,Ephesians
50,Filippense ,,,,Philippians
51,Kolossense ,,,,Colossians
52,1 Tessalonisense ,,,,1 Thessalonians
53,2 Tessalonisense ,,,,2 Thessalonians
54,1 Timoteus ,,,,1 Timothy
55,2 Timoteus ,,,,2 Timothy
56,Titus ,,,,Titus
57,Filemon ,,,,Philemon
58,Hebreërs ,,,,Hebrews
59,Jakobus ,,,,James
60,1 Petrus ,,,,1 Peter
61,2 Petrus ,,,,2 Peter
62,1 Johannes ,,,,1 John
63,2 Johannes ,,,,2 John
64,3 Johannes ,,,,3 John
65,Judas ,,,,Jude
66,Die openbaring ,,,,Revelation
