id,name,shortname,matching1,matching2
1,تكوين ,,,
2,خروج ,,,
3,لاويين ,,,
4,عدد ,,,
5,تثنية ,,,
6,يشوع ,,,
7,قضاه ,,,
8,راعوث ,,,
9,صموئيل أول ,,,
10,صموئيل ثاني,,,
11,ملوك أول ,,,
12,ملوك ثاني ,,,
13,أخبار أيام أول ,,,
14,أخبار أيام ثاني ,,,
15,عزرا ,,,
16,نحميا ,,,
17,أستير ,,,
18,أيوب ,,,
19,مزامير ,,,
20,أمثال ,,,
21,الجامعة ,,,
22,نشيد الأنشاد ,,,
23,إشعياء ,,,
24,إرميا ,,,
25,مراثي إرميا ,,,
26,حزقيال ,,,
27,دانيال ,,,
28,هوشع ,,,
29,يوئيل ,,,
30,عاموس ,,,
31,عوبديا ,,,
32,يونان ,,,
33,ميخا ,,,
34,ناحوم ,,,
35,حبقوق ,,,
36,صفنيا ,,,
37,حجي ,,,
38,زكريا ,,,
39,ملاخي ,,,
40,متى ,,,
41,مرقس ,,,
42,لوقا ,,,
43,يوحنا ,,,
44,أعمال الرسل ,,,
45,الرسالة إلى أهل رومية ,,,
46,الرسالة الأولى إلى أهل كورنثوس ,,,
47,الرسالة الثانية إلى أهل كورنثوس ,,,
48,الرسالة إلى أهل غلاطية ,,,
49,الرسالة إلى أهل أفسس ,,,
50,الرسالة إلى أهل فيلبي ,,,
51,الرسالة إلى أهل كولوسي ,,,
52,الرسالة الأولى إلى أهل تسالونيكي ,,,
53,الرسالة الثانية إلى أهل تسالونيكي ,,,
54,الرسالة الأولى إلى تيموثاوس ,,,
55,الرسالة الثانية إلى تثموثاوس ,,,
56,الرسالة إلى تيطس ,,,
57,الرسالة إلى فليمون ,,,
58,الرسالة إلى عبرانيين ,,,
59,رسالة يعقوب الرسول ,,,
60,رسالة بطرس الأولى ,,,
61,رسالة بطرس الثانية ,,,
62,رسالة يوحنا الأولى ,,,
63,رسالة يوحنا الثانية ,,,
64,رسالة يوحنا الثالثة ,,,
65,رسالة يهوذا ,,,
66,سفر رؤيا يوحنا ,,,
