id,name,shortname,matching1,matching2
1,ﻦﻳﻮﻜﺗ ,,,
2,ﺝﻭﺮﺨﻟﺍ ,,,
3,ﻲﻳﻭﻼﻟﺍ ,,,
4,ﺩﺪﻌﻟﺍ ,,,
5,ﺔﻴﻨﺜﺘﻟﺍ ,,,
6,ﻉﻮﺸﻳ ,,,
7,ﺓﺎﻀﻘﻟﺍ ,,,
8,ﺙﻮﻋﺍﺭ ,,,
9,ﻝﻭﻷﺍ ﻞﻴﺋﻮﻤﺻ ,,,
10,ﻲﻧﺎﺜﻟﺍ ﻞﻴﺋﻮﻤﺻ ,,,
11,ﻭﻷﺍ ﻙﻮﻠﻤﻟﺍ ,,,
12,ﻲﻧﺎﺜﻟﺍ ﻙﻮﻠﻤﻟﺍ ,,,
13,ﻷﺍ ﻡﺎﻳﻷﺍ ﺭﺎﺒﺧﺃ ,,,
14,ﻥﺎﺜﻟﺍ ﻡﺎﻳﻷﺍ ﺭﺎﺒﺧﺃ ,,,
15,ﺍﺭﺰﻋ ,,,
16,ﺎﻴﻤﺤﻧ ,,,
17,ﺮﻴﺘﺳﺃ ,,,
18,ﺏﻮﻳﺃ ,,,
19,ﺮﻴﻣﺍﺰﻤﻟﺍ ,,,
20,ﻝﺎﺜﻣﺃ ,,,
21,ﺔﻌﻣﺎﺠﻟﺍ ,,,
22,ﺎﺸﻧﻷﺍ ﺪﻴﺸﻧ ,,,
23,ءﺎﻴﻌﺷﺃ ,,,
24,ءﺎﻴﻣﺭﺃ ,,,
25,ﺎﻴﻣﺭﺇ ﻲﺛﺍﺮﻣ ,,,
26,ﻝﺎﻴﻗﺰﺣ ,,,
27,ﻝﺎﻴﻧﺍﺩ ,,,
28,ﻊﺷﻮﻫ ,,,
29,ﻞﻴﺋﻮﻳ ,,,
30,ﺱﻮﻣﺎﻋ ,,,
31,ﺎﻳﺪﺑﻮﻋ ,,,
32,ﻥﺎﻧﻮﻳ ,,,
33,ﺎﺨﻴﻣ ,,,
34,ﻡﻮﺣﺎﻧ ,,,
35,ﻕﻮﻘﺒﺣ ,,,
36,ﺎﻴﻨﻔﺻ ,,,
37,ﻲﺠﺣ ,,,
38,ﺎﻳﺮﻛﺯ ,,,
39,ﺥﻼﻣ ,,,
40,ﻰﺘﻣ ,,,
41,ﺲﻗﺮﻣ ,,,
42,ﺎﻗﻮﻟ ,,,
43,ﺎﻨﺣﻮﻳ ,,,
44,ﻞﺳﺮﻟﺍ ﻝﺎﻤﻋﺍ ,,,
45,ﺔﻴﻣﻭﺭ ,,,
46,ﻝﻭﻻﺍ ﺱﻮﺜﻧﺭﻮﻛ ,,,
47,ﺔﻴﻧﺎﺜﻟﺍ ﺱﻮﺜﻧﺭﻮﻛ ,,,
48,ﻲﻃﻼﻏ ,,,
49,ﺲﺴﻓﺃ ,,,
50,ﻲﺒﻴﻠﻴﻓ ,,,
51,ﻲﺳﻮﻟﻮﻛ ,,,
52,ﻲﻜﻴﻧﻮﻟﺎﺴﺗ ﻝﻭﻻﺍ ,,,
53,ﻲﻜﻴﻧﻮﻟﺎﺴﺗ ﺔﻴﻧﺎﺜﻟﺍ ,,,
54,ﺱﻭﺎﺛﻮﻤﻴﺗ ﻝﻭﻻﺍ ,,,
55,ﺱﻭﺎﺛﻮﻤﻴﺗ ﺔﻴﻧﺎﺜﻟﺍ ,,,
56,ﺲﻄﻴﺗ ,,,
57,ﻥﻮﻤﻴﻠﻓ ,,,
58,ﻦﻴﻴﻧﺍﺮﺒﻌﻟﺍ ,,,
59,ﺏﻮﻘﻌﻳ ,,,
60,ﻝﻭﻻﺍ ﺱﺮﻄﺑ ,,,
61,ﺔﻴﻧﺎﺜﻟﺍ ﺱﺮﻄﺑ ,,,
62,ﻝﻭﻻﺍ ﺎﻨﺣﻮﻳ ,,,
63,ﺔﻴﻧﺎﺜﻟﺍ ﺎﻨﺣﻮﻳ ,,,
64,ﺔﺜﻟﺎﺜﻟﺍ ﺎﻨﺣﻮﻳ ,,,
65,ﺍﺫﻮﻬﻳ ,,,
66,ﺎﻳﺅﺭ ﺎﻨﺣﻮﻳ ,,,
