id,name,shortname,matching1,matching2
1,আদিপুস্তক,আদি,,
2,যাত্রাপুস্তক,যাত্রা,,
3,লেবীয়,লেবী,,
4,গণনা,গণ,,
5,"দ্বিতীয় বিবরণ",দ্বিতীয়,,
6,যিহোশূয়,যিহো,,
7,বিচারকর্ত্তৃগণ,বিচারক,,
8,রূত,রূত,,
9,"1 শমূয়েল",1শমূ,,
10,"2 শমূয়েল",2শমূ,,
11,"1 রাজাবলি",1রাজা,,
12,"2 রাজাবলি",2রাজা,,
13,"1 বংশাবলি",1বংশ,,
14,"2 বংশাবলি",2বংশ,,
15,ইষ্রা,ইষ্রা,,
16,নহিমিয়,নহি,,
17,ইষ্টের,ইষ্ট,,
18,ইয়োব,ইয়ো,,
19,গীতসংহিতা,গীত,,
20,হিতোপদেশ,হিতো,,
21,উপদেশক,উপ,,
22,পরমগীত,পরম,,
23,যিশাইয়,যিশা,,
24,যিরমিয়,যির,,
25,বিলাপ,বিলা,,
26,যিহিস্কেল,যিহি,,
27,দানিয়েল,দানি,,
28,হোশেয়,হোশে,,
29,যোয়েল,যোয়ে,,
30,আমোষ,আমো,,
31,ওবদিয়,ওব,,
32,যোনা,যোনা,,
33,মীখা,মীখা,,
34,নহূম,নহূ,,
35,হবককূক,হবক,,
36,সফনিয়,সফ,,
37,হগয়,হগ,,
38,সখরিয়,সখ,,
39,মালাখি,মালা,,
40,মথি,মথি,,
41,মার্ক,মার্ক,,
42,লুক,লুক,,
43,যোহন,যোহ,,
44,"প্রেরিতদের কার্য্য",প্রেরিত,,
45,রোমীয়,রোম,,
46,"1 করিন্থীয়",1করি,,
47,"2 করিন্থীয়",2করি,,
48,গালাতীয়,গালা,,
49,ইফিষীয়,ইফি,,
50,ফিলিপীয়,ফিলি,,
51,কলসীয়,কল,,
52,"1 থিষলনীকীয়",1থিষ,,
53,"2 থিষলনীকীয়",2থিষ,,
54,"1 তীমথিয়",1তীম,,
55,"2 তীমথিয়",2তীম,,
56,তীত,তীত,,
57,ফিলীমন,ফিলী,,
58,ইব্রীয়,ইব্রী,,
59,যাকোব,যাকো,,
60,"1 পিতর",1পিত,,
61,"2 পিতর",2পিত,,
62,"1 যোহন",1যোহ,,
63,"2 যোহন",2যোহ,,
64,"3 যোহন",3যোহ,,
65,যিহূদা,যিহূ,,
66,"প্রকাশিত বাক্য",প্রকাশ,,
