id,name,shortname,matching1,matching2
1,བཀོད་པ།,,,
2,ཨེ་ཅིབ་ནས་ཐོན་པ།,,,
3,ལེ་ཝིའི་ཚུལ་ཁྲིམས།,,,
4,གྲངས་ཀ,,,
5,བཀའ་ལུང་།,,,
6,ཡོ་ཤུ་ཨ།,,,
7,ཁྲིམས་དཔོན།,,,
8,རུ་ཐི།,,,
9,སཱ་མུ་ཨེལ་དང་པོ།,,,
10,སཱ་མུ་ཨེལ་གཉིས་པ།,,,
11,རྒྱལ་རབས་དང་པོ།,,,
12,རྒྱལ་རབས་གཉིས་པ།,,,
13,སྔོན་རབས་དང་པོ།,,,
14,སྔོན་རབས་གཉིས་པ།,,,
15,ཨེས་སི་རཱ།,,,
16,ནེ་ཧེམ་ཡཱ།,,,
17,ཨེས་སི་ཐེར།,,,
18,ཨེས་ཡོབ།,,,
19,གསུང༌མགུར།,,,
20,ལེགས་བཤད།,,,
21,སྟོན་པ།,,,
22,སྙན་མགུར།,,,
23,ཡེ་ཤ་ཡཱ།,,,
24,ཡེ་རེམ་ཡཱ།,,,
25,སྐྱོ་གླུ།,,,
26,ཨེ་ཟེ་ཀི་ཨེལ།,,,
27,དཱ་ནེ་ཨེལ།,,,
28,ཧོ་ཤེ་ཨ།,,,
29,ཡོ་ཨེལ།,,,
30,ཨ་མོ་སི།,,,
31,ཨོ་བད་ཡཱ།,,,
32,ཡོ་ནཱ།,,,
33,མི་ཀཱ,,,
34,ནཱ་ཧུམ།,,,
35,ཧ་བཱ་ཁུག,,,
36,ཟེ་ཕན་ཡཱ།,,,
37,ཧག་གཱ་ཨི།,,,
38,ཟཱ་ཀར་ཡ།,,,
39,མཱལ་ཨ་ཀེ,,,
40,མད༌ཐཱ།,,,
41,མཱཪ་ཀུ,,,
42,ལོ་ཀུ,,,
43,ཡོ་ཧ་ནན།,,,
44,མཛད་འཕྲིན།,,,
45,རོ་མཱ་པ།,,,
46,ཀོ་རིན་ཐུ་པ་དང་པོ།,,,
47,ཀོ་རིན་ཐུ་པ་གཉིས་པ།,,,
48,ག་ལད་ཡཱ་པ།,,,
49,ཨེ་ཕེ་སི་པ།,,,
50,ཕི་ལིབ་པི་པ།,,,
51,ཀོ་ལོ་སཱ་པ།,,,
52,ཐེ་སཱ་ལོ་ནེ་ཀེ་པ་དང་པོ།,,,
53,ཐེ་སཱ་ལོ་ནེ་ཀེ་པ་གཉིས་པ།,,,
54,ཐི་མོ་ཐེ་དང་པོ།,,,
55,ཐི་མོ་ཐེ་གཉིས་པ།,,,
56,ཐེ་ཏུ།,,,
57,ཕི་ལེ་མོན།,,,
58,ཨིབ་རི་པ།,,,
59,ཡ་ཀོབ།,,,
60,པེ་ཏྲོ་དང་པོ།,,,
61,པེ་ཏྲོ་གཉིས་པ།,,,
62,ཡོ་ཧ་ནན་དང་པོ།,,,
63,ཡོ་ཧ་ནན་གཉིས་པ།,,,
64,ཡོ་ཧ་ནན་གསུམ་པ།,,,
65,ཡ་ཧུ་དཱ།,,,
66,མངོན་པ།,,,
