id,name,shortname,matching1,matching2
1,Mojžišova,,,
2,Mojžišova,,,
3,Mojžišova,,,
4,Mojžišova,,,
5,Mojžišova,,,
6,Józua,,,
7,Sudcov,,,
8,Rút,,,
9,1. Samuelova ,,,
10,2. Samuelova ,,,
11,1. Královská ,,,
12,2. Královská ,,,
13,1. Kronická ,,,
14,2. Kronická ,,,
15,Ezdráš ,,,
16,Nehemiáš ,,,
17,Ester ,,,
18,Jób ,,,
19,Žalmy ,,,
20,Príslovia ,,,
21,Kazatel ,,,
22,Pieseò ,,,
23,Izaiáš ,,,
24,Jeremiáš ,,,
25,Plaè ,,,
26,Ezechiel ,,,
27,Daniel ,,,
28,Hozeáš ,,,
29,Joel ,,,
30,Ámos ,,,
31,Obadiáš ,,,
32,Jonáš ,,,
33,Micheáš ,,,
34,Náhum ,,,
35,Habakuk ,,,
36,Sofoniáš ,,,
37,Haggeus ,,,
38,Zachariáš ,,,
39,Malachiáš ,,,
40,Matouš ,,,
41,Marek ,,,
42,Lukáš ,,,
43,Jan ,,,
44,Skutky Apoštolů ,,,
45,Římanům ,,,
46,1 Korintským ,,,
47,2 Korintským ,,,
48,Galatským ,,,
49,Efezským ,,,
50,Filipským ,,,
51,Koloským ,,,
52,1 Tesalonickým ,,,
53,2 Tesalonickým ,,,
54,1 Timoteovi ,,,
55,2 Timoteovi ,,,
56,Titovi ,,,
57,Filemonovi ,,,
58,Židům ,,,
59,Jakubův ,,,
60,1 Petrův ,,,
61,2 Petrův ,,,
62,1 Janův ,,,
63,2 Janův ,,,
64,3 Janův ,,,
65,Judův ,,,
66,Zjevení Janovo,,,
