id,name,shortname,matching1,matching2
1,Génesis,,,
2,Éxodo,,,
3,Levítico,,,
4,Números,,,
5,Deuteronomio,,,
6,Josué,,,
7,Jueces,,,
8,Rut,,,
9,1 Samuel,,,1Samuel
10,2 Samuel,,,2Samuel
11,1 Reyes,,,1Reyes
12,2 Reyes,,,2Reyes
13,1 Crónicas,,,1Crónicas
14,2 Crónicas,,,2Crónicas
15,Esdras,,,
16,Nehemías,,,
17,Esther,,,
18,Job,,,
19,Salmos,,,
20,Proverbios,,,
21,Ecclesiastés,,,
22,Canción de canciones,,,
23,Isaías,,,
24,Jeremías,,,
25,Lamentaciones,,,
26,Ezequiel,,,
27,Daniel,,,
28,Oseas,,,
29,Joel,,,
30,Amós,,,
31,Abdías,,,
32,Jonás,,,
33,Miqueas,,,
34,Nahum,,,
35,Habacuc,,,
36,Sofonías,,,
37,Haggeo,,,
38,Zacarías,,,
39,Malaquías,,,
40,Mateo,,,
41,Marcos,,,
42,Lucas,,,
43,Juan,,,
44,Hechos,,,
45,Romanos,,,
46,1 Corintios,,,1Corintios
47,2 Corintios,,,2Corintios
48,Gálatas,,,
49,Efesios,,,
50,Filipenses,,,
51,Colosenses,,,
52,1 Tesalonicenses,,,1Tesalonicenses
53,2 Tesalonicenses,,,2Tesalonicenses
54,1 Timoteo,,,1Timoteo
55,2 Timoteo,,,2Timoteo
56,Tito,,,
57,Filemón,,,
58,Hebreos,,,
59,Santiago,,,
60,1 Pedro,,,1Pedro
61,2 Pedro,,,2Pedro
62,1 Juan,,,1Juan
63,2 Juan,,,2Juan
64,3 Juan,,,3Juan
65,Judas,,,
66,Revelación,,,
