id,name,shortname,matching1,matching2
1,پیدایش ,,,
2,خروج ,,,
3,لاویان ,,,
4,اعداد ,,,
5,تَثنيه ,,,
6,يوشَع ,,,
7,داوران ,,,
8,روت ,,,
9,اول سموئيل ,,,
10,دوم سموئيل ,,,
11,اول پادشاهان ,,,
12,دوم پادشاهان ,,,
13,اول تواريخ ,,,
14,دوم تواريخ ,,,
15,عِزرا ,,,
16,نِحِميا ,,,
17,اِستر ,,,
18,ايوب ,,,
19,مزامير ,,,
20,امثال سليمان ,,,
21,جامعه ,,,
22,غزل غزلهای سليمان ,,,
23,اِشعيا ,,,
24,اِرميا ,,,
25,مراثی اِرميا ,,,
26,حِزقيال ,,,
27,دانيال ,,,
28,هوشَع ,,,
29,يوئيل ,,,
30,عاموس ,,,
31,عوبَديا ,,,
32,يونس ,,,
33,ميکاه ,,,
34,ناحوم ,,,
35,حَبَقوق ,,,
36,صَفَنيا ,,,
37,حَجَّی ,,,
38,زکريا ,,,
39,مَلاکی ,,,
40,مَتّی ,,,
41,مَرقُس ,,,
42,لوقا ,,,
43,یوحنا ,,,
44,اعمال رسولان ,,,
45,رومیان ,,,
46,اول قُرِنتیان ,,,
47,دوم قُرِنتیان ,,,
48,غَلاطیان ,,,
49,اَفِسُسیان ,,,
50,فیلیپیان ,,,
51,کولُسیان ,,,
52,اول تَسالونیکیان ,,,
53,دوم تَسالونیکیان ,,,
54,اول تیموتائوس ,,,
55,دوم تیموتائوس ,,,
56,تیطُس ,,,
57,فیلیمون ,,,
58,عبرانیان ,,,
59,یعقوب ,,,
60,اول پِطرُس ,,,
61,دوم پِطرُس ,,,
62,اول یوحنا ,,,
63,دوم یوحنا ,,,
64,سوم یوحنا ,,,
65,یهودا ,,,
66,مکاشفۀ يوحنا ,,,
