id,name,shortname,matching1,matching2
1,ઉત્પ,,,
2,નિર્ગ.,,,
3,લેવી,,,
4,ગણ.,,,
5,પુન.,,,
6,યહો.,,,
7,ન્યાય.,,,
8,રૂથ,,,
9,1 શમુ.,,,
10,2 શમુ.,,,
11,1 રાજા.,,,
12,2 રાજા.,,,
13,1 કાળ.,,,
14,2 કાળ.,,,
15,એઝ.,,,
16,નહે.,,,
17,એસ્ત.,,,
18,અયૂ.,,,
19,ગી.શા.,,,
20,નીતિ.,,,
21,સભા.,,,
22,ગીત.,,,
23,યશા.,,,
24,યર્મિ.,,,
25,વિલા.,,,
26,હઝ.,,,
27,દાનિ.,,,
28,હોશિ.,,,
29,યોએ.,,,
30,આમ.,,,
31,ઓબ.,,,
32,યૂન.,,,
33,મીખા.,,,
34,નાહૂ.,,,
35,હબ.,,,
36,સફા.,,,
37,હાગ.,,,
38,ઝખા.,,,
39,માલા.,,,
40,માથ.,,,
41,માર્ક,,,
42,લૂક,,,
43,યોહ.,,,
44,પ્રે.કૃ.,,,
45,રોમ.,,,
46,1 કરિં.,,,
47,2 કરિં.,,,
48,ગલ.,,,
49,એફે.,,,
50,ફિલિ.,,,
51,કલો.,,,
52,1 થેસ.,,,
53,2 થેસ.,,,
54,1 તિમ.,,,
55,2 તિમ.,,,
56,તિત.,,,
57,ફિલે.,,,
58,હિબ.,,,
59,યાકૂ.,,,
60,1 પિત.,,,
61,2 પિત.,,,
62,1 યોહ.,,,
63,2 યોહ.,,,
64,3 યોહ.,,,
65,યહૂ.,,,
66,પ્રક.,,,
