id,name,shortname,matching1,matching2
1,Farawa,Far,,
2,Fitowa,Fit,,
3,Firistoci,Fir,,
4,Ƙidaya,Ƙid,,
5,"Maimaitawar Shari’a","M Sh",,
6,Yoshuwa,Yosh,,
7,Mahukunta,Mah,,
8,Rut,Rut,,
9,"1 Sama’ila",1Sam,,
10,"2 Sama’ila",2Sam,,
11,"1 Sarakuna",1Sar,,
12,"2 Sarakuna",2Sar,,
13,"1 Tarihi",1Tar,,
14,"2 Tarihi",2Tar,,
15,Ezra,Ezr,,
16,Nehemiya,Neh,,
17,Esta,Esta,,
18,Ayuba,Ayu,,
19,Zabura,Zab,,
20,"Karin Magana","K Mag",,
21,"Mai Hadishi","M Had",,
22,"Waƙar Waƙoƙi",WW,,
23,Ishaya,Ish,,
24,Irmiya,Irm,,
25,Makoki,Mak,,
26,Ezekiyel,Ezk,,
27,Daniyel,Dan,,
28,Hosiya,Hos,,
29,Yowel,Yow,,
30,Amos,Amos,,
31,Obadiya,Oba,,
32,Yunana,Yun,,
33,Mika,Mik,,
34,Nahum,Nah,,
35,Habakkuk,Hab,,
36,Zefaniya,Zef,,
37,Haggai,Hag,,
38,Zakariya,Zak,,
39,Malaki,Mal,,
40,Mattiyu,Mat,,
41,Markus,Mar,,
42,Luka,Luk,,
43,Yohanna,Yoh,,
44,"Ayyukan Manzanni","Ayy M",,
45,Romawa,Rom,,
46,"1 Korintiyawa",1Kor,,
47,"2 Korintiyawa",2Kor,,
48,Galatiyawa,Gal,,
49,Afisawa,Afi,,
50,Filibbiyawa,Fil,,
51,Kolossiyawa,Kol,,
52,"1 Tessalonikawa",1Tes,,
53,"2 Tessalonikawa",2Tes,,
54,"1 Timoti",1Tim,,
55,"2 Timoti",2Tim,,
56,Titus,Tit,,
57,Filemon,Flm,,
58,Ibraniyawa,Ibr,,
59,Yaƙub,Yaƙ,,
60,"1 Bitrus",1Bit,,
61,"2 Bitrus",2Bit,,
62,"1 Yohanna",1Yoh,,
63,"2 Yohanna",2Yoh,,
64,"3 Yohanna",3Yoh,,
65,Yahuda,Yah,,
66,"Ru’uya ta Yohanna","R Yoh",,
