id,name,shortname,matching1,matching2
1,בְּרֵאשִׁית,בְּרֵאשִׁית,,
2,שְׁמֹות,שְׁמֹות,,
3,וַיִּקְרָא,וַיִּקְרָא,,
4,בְּמִדְבַּר,בְּמִדְבַּר,,
5,דְּבָרִים,דְּבָרִים,,
6,יְהוֹשֻעַ,יְהוֹשֻעַ,,
7,שֹׁפְטִים,שֹׁפְטִים,,
8,רוּת,רוּת,,
9,"1 שְׁמוּאֵל","1 שְׁמוּאֵל",,
10,"2 שְׁמוּאֵל","2 שְׁמוּאֵל",,
11,"1 מְלָכִים","1 מְלָכִים",,
12,"2 מְלָכִים","2 מְלָכִים",,
13,"1 דִּבְרֵי הַיָּמִים","1 דִּבְרֵי הַיָּמִים",,
14,"2 דִּבְרֵי הַיָּמִים","2 דִּבְרֵי הַיָּמִים",,
15,עֶזְרָא,עֶזְרָא,,
16,נחמיה,נחמיה,,
17,אֶסְתֵר,אֶסְתֵר,,
18,אִיּוֹב,אִיּוֹב,,
19,תְהִלִּים,תְהִלִּים,,
20,מִשְׁלֵי,מִשְׁלֵי,,
21,קֹהֶלֶת,קֹהֶלֶת,,
22,"שִׁיר הַשִּׁירִים","שִׁיר הַשִּׁירִים",,
23,יְשַׁעְיָהוּ,יְשַׁעְיָהוּ,,
24,יִרְמְיָהוּ,יִרְמְיָהוּ,,
25,אֵיכָה,אֵיכָה,,
26,יְחֶזְקֵאל,יְחֶזְקֵאל,,
27,דָּנִיֵּאל,דָּנִיֵּאל,,
28,הוֹשֵׁעַ,הוֹשֵׁעַ,,
29,יוֹאֵל,יוֹאֵל,,
30,עָמוֹס,עָמוֹס,,
31,עֹבַדְיָה,עֹבַדְיָה,,
32,יוֹנָה,יוֹנָה,,
33,מִיכָה,מִיכָה,,
34,נַחוּם,נַחוּם,,
35,חֲבַקּוּק,חֲבַקּוּק,,
36,צְפַנְיָה,צְפַנְיָה,,
37,חַגַּי,חַגַּי,,
38,זְכַרְיָה,זְכַרְיָה,,
39,מַלְאָכִי,מַלְאָכִי,,
40,מתיו,מתיו,,
41,"סנט מארק","סנט מארק",,
42,"הבְּשׂוֹרָה הַקְּדוֹשָׁה עַל־פִּי לוּקָס",לוק,,
43,ג'ון,ג'ון,,
44,"מַעֲשֵׂי הַשְּׁלִיחִים",מעשים,,
45,"אִגֶּרֶת פּוֹלוֹס הַשָּׁלִיחַ אֶל־הָרוֹמִיִּים",הרומאים,,
46,"אִגֶּרֶת פּוֹלוֹס הָרִאשׁוֹנָה אֶל־הַקּוֹרִנְתִּיִּים","1 הקורינתיאנים",,
47,"אִגֶּרֶת פּוֹלוֹס הָשֵּׁנִית אֶל־הַקּוֹרִנְתִּיִים","2 הקורינתיאנים",,
48,"אִגֶּרֶת פּוֹלוֹס הַשָּׁלִיחַ אֶל־הַגָּלָטִיִּים",הגלטים,,
49,"אִגֶּרֶת פּוֹלוֹס הַשָּׁלִיחַ אֶל־הָאֶפְסִיִּים",אפרים,,
50,"אִגֶּרֶת פּוֹלוֹס הַשָּׁלִיחַ אֶל־הַפִּילִפִּיִּים",הפיליפינים,,
51,"אִגֶּרֶת פּוֹלוֹס הַשָּׁלִיחַ אֶל־הַקּוֹלַסִּים",קולוסים,,
52,"1 סלוניס","1 סלוניס",,
53,"2 סלוניס","2 סלוניס",,
54,"1 טימותי","1 טימותי",,
55,"2 טימותי","2 טימותי",,
56,"אִגֶּרֶת פּוֹלוֹס אֶל־טִיטוֹס",טיטוס,,
57,"אִגֶּרֶת פּוֹלוֹס אֶל־פִּילֵימוֹן",פילימון,,
58,"אִגֶּרֶת אֶל־הָעִבְרִים",עברים,,
59,"אִגֶּרֶת יַעֲקֹב",יַעֲקֹב,,
60,"הָאִגֶּרֶת הָרִאשׁוֹנָה לְפֶטְרוֹס הַשָּׁלִיחַ","1 פיטר",,
61,"הָאִגֶּרֶת הַשֵּׁנִית לְפֶטְרוֹס הַשָּׁלִיחַ","2 פיטר",,
62,"הָאִגֶּרֶת הָרִאשׁוֹנָה לְיוֹחָנָן הַשָּׁלִיחַ","1 ג'ון",,
63,"הָאִגֶּרֶת הַשֵּׁנִית לְיוֹחָנָן הַשָּׁלִיחַ","2 ג'ון",,
64,"הָאִגֶּרֶת הַשְּׁלִישִׁית לְיוֹחָנָן הַשָּׁלִיחַ","3 ג'ון",,
65,"אִגֶּרֶת יְהוּדָה","אִגֶּרֶת יְהוּדָה",,
66,"חזוֹן יוֹחָנָן","חזוֹן יוֹחָנָן",,
