id,name,shortname,matching1,matching2
1,1 Mózes,,,
2,2 Mózes,,,
3,3 Mózes,,,
4,4 Mózes,,,
5,5 Mózes,,,
6,Józsué,,,
7,Birák,,,
8,Ruth,,,
9,1 Sámuel,,,
10,2 Sámuel,,,
11,1 Királyok,,,
12,2 Királyok,,,
13,1 Krónika,,,
14,2 Krónika,,,
15,Ezsdrás,,,
16,Nehemiás,,,
17,Eszter,,,
18,Jób,,,
19,Zsoltárok,,,
20,Példabeszédek,,,
21,Prédikátor,,,
22,Énekek Éneke,,,
23,Ézsaiás,,,
24,Jeremiás,,,
25,Jeremiás Sir,,,
26,Ezékiel,,,
27,Dániel,,,
28,Hóseás,,,
29,Jóel,,,
30,Ámos,,,
31,Abdiás,,,
32,Jónás,,,
33,Mikeás,,,
34,Náhum,,,
35,Habakuk,,,
36,Sofoniás,,,
37,Aggeus,,,
38,Zakariás,,,
39,Malakiás,,,
40,Máté,,,
41,Márk,,,
42,Lukács,,,
43,János,,,
44,Apostolok,,,
45,Rómaiakhoz,,,
46,1 Korintusi,,,
47,2 Korintusi,,,
48,Galatákhoz,,,
49,Efézusiakhoz,,,
50,Filippiekhez,,,
51,Kolosséiakhoz,,,
52,1 Tesszalonika,,,
53,2 Tesszalonika,,,
54,1 Timóteushoz,,,
55,2 Timóteushoz,,,
56,Titushoz,,,
57,Filemonhoz,,,
58,Zsidókhoz,,,
59,Jakab,,,
60,1 Péter,,,
61,2 Péter,,,
62,1 János,,,
63,2 János,,,
64,3 János,,,
65,Júdás,,,
66,Jelenések,,,
