id,name,shortname,matching1,matching2
1,Kejadian,,,
2,Keluaran,,,
3,Imamat,,,
4,Bilangan,,,
5,Ulangan,,,
6,Yosua,,,
7,Hakim-hakim,,,
8,Rut,,,
9,1 Samuel,,,
10,2 Samuel,,,
11,1 Raja-raja,,,
12,2 Raja-raja,,,
13,1 Tawarikh,,,
14,2 Tawarikh,,,
15,Ezra,,,
16,Nehemia,,,
17,Ester,,,
18,Ayub,,,
19,Mazmur,,,
20,Amsal,,,
21,Pengkhotbah,,,
22,Kidung Agung,,,
23,Yesaya,,,
24,Yeremia,,,
25,Ratapan,,,
26,Yehezkiel,,,
27,Daniel,,,
28,Hosea,,,
29,Yoel,,,
30,Amos,,,
31,Obaja,,,
32,Yunus,,,
33,Mikha,,,
34,Nahum,,,
35,Habakuk,,,
36,Zefanya,,,
37,Hagai,,,
38,Zakharia,,,
39,Maleakhi,,,
40,Matius,,,
41,Markus,,,
42,Lukas,,,
43,Yohanes,,,
44,Kisah Rasul-rasul,,,
45,Roma,,,
46,1 Korintus,,,
47,2 Korintus,,,
48,Galatia,,,
49,Efesus,,,
50,Filipi,,,
51,Kolose,,,
52,1 Tesalonika,,,
53,2 Tesalonika,,,
54,1 Timotius,,,
55,2 Timotius,,,
56,Titus,,,
57,Filemon,,,
58,Ibrani,,,
59,Yakobus,,,
60,1 Petrus,,,
61,2 Petrus,,,
62,1 Yohanes,,,
63,2 Yohanes,,,
64,3 Yohanes,,,
65,Yudas,,,
66,Wahyu,,,
