id,name,shortname,matching1,matching2
1,創世記,,,
2,出エジプト記,,,
3,レビ記,,,
4,民数記,,,
5,申命記,,,
6,ヨシュア記,,,
7,士師記,,,
8,ルツ記,,,
9,サムエル記Ⅰ,,,
10,サムエル記Ⅱ,,,
11,列王記Ⅰ,,,
12,列王記Ⅱ,,,
13,歴代誌Ⅰ,,,
14,歴代誌Ⅱ,,,
15,エズラ記,,,
16,ネヘミヤ 記,,,
17,エステル 記,,,
18,ヨブ 記,,,
19,詩篇,,,
20,箴言 知恵の泉,,,
21,伝道者の書,,,
22,雅歌,,,
23,イザヤ書,,,
24,エレミヤ書,,,
25,哀歌,,,
26,エゼキエル書,,,
27,ダニエル書,,,
28,ホセア書,,,
29,ヨエル書,,,
30,アモス書,,,
31,オバデヤ書,,,
32,ヨナ書,,,
33,ミカ書,,,
34,ナホム書,,,
35,ハバクク書,,,
36,ゼパニヤ書,,,
37,ハガイ書,,,
38,ゼカリヤ書,,,
39,マラキ書,,,
40,マタイの福音書,,,
41,マルコの福音書,,,
42,ルカの福音書,,,
43,ヨハネの福音書,,,
44,使徒の働き,,,
45,ローマ人への手紙,,,
46,コリント人への手紙Ⅰ,,,
47,コリント人への手紙Ⅱ,,,
48,ガラテヤ人への手紙,,,
49,エペソ人への手紙,,,
50,ピリピ人への手紙,,,
51,コロサイ人への手紙,,,
52,テサロニケ人への手紙Ⅰ,,,
53,テサロニケ人への手紙Ⅱ,,,
54,テモテへの手紙Ⅰ,,,
55,テモテへの手紙Ⅱ,,,
56,テトスへの手紙,,,
57,ピレモンへの手紙,,,
58,へブル人への手紙,,,
59,ヤコブの手紙,,,
60,ペテロの手紙Ⅰ ,,,
61,ペテロの手紙Ⅱ,,,
62,ヨハネの手紙Ⅰ,,,
63,ヨハネの手紙Ⅱ,,,
64,ヨハネの手紙Ⅲ,,,
65,ユダの手紙,,,
66,ヨハネの黙示録,,,
