id,name,shortname,matching1,matching2,English name
1,,,,,Genesis
2,,,,,Exodus
3,,,,,Leviticus
4,,,,,Numbers
5,,,,,Deuteronomy
6,,,,,Joshua
7,,,,,Judges
8,,,,,Ruth
9,,,,,1 Samuel
10,,,,,2 Samuel
11,,,,,1 Kings
12,,,,,2 Kings
13,,,,,1 Chronicles
14,,,,,2 Chronicles
15,,,,,Ezra
16,,,,,Nehemiah
17,,,,,Esther
18,,,,,Job
19,,,,,Psalms
20,,,,,Proverbs
21,,,,,Ecclesiastes
22,,,,,Song of Solomon
23,,,,,Isaiah
24,,,,,Jeremiah
25,,,,,Lamentations
26,,,,,Ezekiel
27,,,,,Daniel
28,,,,,Hosea
29,,,,,Joel
30,,,,,Amos
31,,,,,Obadiah
32,,,,,Jonah
33,,,,,Micah
34,,,,,Nahum
35,,,,,Habakkuk
36,,,,,Zephaniah
37,,,,,Haggai
38,,,,,Zechariah
39,,,,,Malachi
40,Matéus ,,,,Matthew
41,Markus ,,,,Mark
42,Lukas ,,,,Luke
43,Yohanes ,,,,John
44,Para Rasul ,,,,Acts
45,Rum ,,,,Romans
46,1 Korinta ,,,,1 Corinthians
47,2 Korinta ,,,,2 Corinthians
48,Galasia ,,,,Galatians
49,Efése ,,,,Ephesians
50,Filipi ,,,,Philippians
51,Kolosé ,,,,Colossians
52,1 Tèsalonika ,,,,1 Thessalonians
53,2 Tèsalonika ,,,,2 Thessalonians
54,1 Timotius ,,,,1 Timothy
55,2 Timotius ,,,,2 Timothy
56,Titus ,,,,Titus
57,Filemon ,,,,Philemon
58,Ibrani ,,,,Hebrews
59,Yakobus ,,,,James
60,1 Pétrus ,,,,1 Peter
61,2 Pétrus ,,,,2 Peter
62,1 Yohanes ,,,,1 John
63,2 Yohanes ,,,,2 John
64,3 Yohanes ,,,,3 John
65,Yudas ,,,,Jude
66,Pamedaran ,,,,Revelation
