id,name,shortname,matching1,matching2
1,ಆದಿಕಾಂಡ,ಆದಿ,,
2,ವಿಮೋಚನಕಾಂಡ,ವಿಮೋ,,
3,ಯಾಜಕಕಾಂಡ,ಯಾಜ,,
4,ಅರಣ್ಯಕಾಂಡ,ಅರಣ್ಯ,,
5,ಧರ್ಮೋಪದೇಶಕಾಂಡ,ಧರ್ಮೋ,,
6,ಯೆಹೋಶುವ,ಯೆಹೋ,,
7,ನ್ಯಾಯಸ್ಥಾಪಕರು,ನ್ಯಾಯ,,
8,ರೂತಳು,ರೂತ,,
9,1 ಸಮುವೇಲನು,1ಸಮು,,
10,2 ಸಮುವೇಲನು,2ಸಮು,,
11,1 ಅರಸುಗಳು,1ಅರಸು,,
12,2 ಅರಸುಗಳು,2ಅರಸು,,
13,1 ಪೂರ್ವಕಾಲವೃತ್ತಾ,1ಪೂರ್ವ,,
14,2 ಪೂರ್ವಕಾಲವೃತ್ತಾ,2ಪೂರ್ವ,,
15,ಎಜ್ರನು,ಎಜ್ರ,,
16,ನೆಹೆಮಿಯ,ನೆಹೆ,,
17,ಎಸ್ತೇರಳು,ಎಸ್ತೇ,,
18,ಯೋಬನು,ಯೋಬ,,
19,ಕೀರ್ತನೆಗಳು,ಕೀರ್ತ,,
20,ಙ್ಞಾನೋಕ್ತಿಗಳು,ಜ್ಞಾನೋ,,
21,ಪ್ರಸಂಗಿ,ಪ್ರಸ,,
22,ಪರಮ ಗೀತ,ಪ.ಗೀ.,,
23,ಯೆಶಾಯ,ಯೆಶಾ,,
24,ಯೆರೆಮಿಯ,ಯೆರೆ,,
25,ಪ್ರಲಾಪಗಳು,ಪ್ರಲಾ,,
26,ಯೆಹೆಜ್ಕೇಲನು,ಯೆಹೆ,,
27,ದಾನಿಯೇಲನು,ದಾನಿ,,
28,ಹೋಶೇ,ಹೋಶೇ,,
29,ಯೋವೇಲ,ಯೋವೇ,,
30,ಆಮೋಸ,ಆಮೋ,,
31,ಓಬದ್ಯ,ಓಬ,,
32,ಯೋನ,ಯೋನ,,
33,ಮಿಕ,ಮೀಕ,,
34,ನಹೂಮ,ನಹೂ,,
35,ಹಬಕ್ಕೂಕ್ಕ,ಹಬ,,
36,ಚೆಫನ್ಯ,ಚೆಫ,,
37,ಹಗ್ಗಾಯ,ಹಗ್ಗಾ,,
38,ಜೆಕರ್ಯ,ಜೆಕ,,
39,ಮಲಾಕಿಯ,ಮಲಾ,,
40,ಮತ್ತಾಯನು,ಮತ್ತಾ,,
41,ಮಾರ್ಕನು,ಮಾರ್ಕ,,
42,ಲೂಕನು,ಲೂಕ,,
43,ಯೋಹಾನನು,ಯೋಹಾ,,
44,ಅಪೊಸ್ತಲರ ಕೃತ್ಯಗ,ಅ. ಕೃ.,,
45,ರೋಮಾಪುರದವರಿಗೆ,ರೋಮಾ,,
46,1 ಕೊರಿಂಥದವರಿಗೆ,1ಕೊರಿ,,
47,2 ಕೊರಿಂಥದವರಿಗೆ,2ಕೊರಿ,,
48,ಗಲಾತ್ಯದವರಿಗೆ,ಗಲಾ,,
49,ಎಫೆಸದವರಿಗೆ,ಎಫೆ,,
50,ಫಿಲಿಪ್ಪಿಯವರಿಗೆ,ಫಿಲಿಪ್ಪಿ,,
51,ಕೊಲೊಸ್ಸೆಯವರಿಗೆ,ಕೊಲೊ,,
52,1 ಥೆಸಲೊನೀಕದವರಿಗೆ,1ಥೆಸ,,
53,2 ಥೆಸಲೊನೀಕದವರಿಗೆ,2ಥೆಸ,,
54,1 ತಿಮೊಥೆಯನಿಗೆ,1ತಿಮೊ,,
55,2 ತಿಮೊಥೆಯನಿಗೆ,2ತಿಮೊ,,
56,ತೀತನಿಗೆ,ತೀತ,,
57,ಫಿಲೆಮೋನನಿಗೆ,ಫಿಲೆ,,
58,ಇಬ್ರಿಯರಿಗೆ,ಇಬ್ರಿ,,
59,ಯಾಕೋಬನು,ಯಾಕೋ,,
60,1 ಪೇತ್ರನು,1ಪೇತ್ರ,,
61,2 ಪೇತ್ರನು,2ಪೇತ್ರ,,
62,1 ಯೋಹಾನನು,1ಯೋಹಾ,,
63,2 ಯೋಹಾನನು,2ಯೋಹಾ,,
64,3 ಯೋಹಾನನು,3ಯೋಹಾ,,
65,ಯೂದನು,ಯೂದ,,
66,ಪ್ರಕಟನೆ,ಪ್ರಕ,,
