id,name,shortname,matching1,matching2
1,Pradžios,Pr,,
2,Išėjimo,Iš,,
3,"Kunigų (Levitų)",Kun,,
4,Skaičių,Sk,,
5,"Pakartotas Įstatymas",Įst,,
6,Jozuės,Joz,,
7,Teisėjų,Ts,,
8,Rūtos,Rūt,,
9,"I Samuelio","I Sam",,
10,"II Samuelio","II Sam",,
11,"I Karalių","I Kar",,
12,"II Karalių","II Kar",,
13,"I Metraščių","I Met",,
14,"II Metraščių","II Met",,
15,Ezros,Ezr,,
16,Nehemijo,Neh,,
17,Esteros,Est,,
18,Jobo,Job,,
19,Psalmynas,Ps,,
20,Patarlių,Pat,,
21,Mokytojo,Mok,,
22,"Giesmių giesmė",Gg,,
23,Izaijo,Iz,,
24,Jeremijo,Jer,,
25,Raudos,Rd,,
26,Ezechielio,Eze,,
27,Danieliaus,Dan,,
28,Ozėjo,Oz,,
29,Joelio,Jl,,
30,Amoso,Am,,
31,Abdijo,Abd,,
32,Jonos,Jon,,
33,Michėjo,Mch,,
34,Nahumo,Nah,,
35,Habakuko,Hab,,
36,Sofonijo,Sof,,
37,Agėjo,Ag,,
38,Zacharijo,Zch,,
39,Malachijo,Mal,,
40,Mato,Mt,,
41,Morkaus,Mk,,
42,Luko,Lk,,
43,Jono,Jn,,
44,"Apaštalų darbai",Apd,,
45,Romiečiams,Rom,,
46,"I Korintiečiams","I Kor",,
47,"II Korintiečiams","II Kor",,
48,Galatams,Gal,,
49,Efeziečiams,Ef,,
50,Filipiečiams,Flp,,
51,Kolosiečiams,Kol,,
52,"I Tesalonikiečiams","I Tes",,
53,"II Tesalonikiečiams","II Tes",,
54,"I Timotiejui","I Tim",,
55,"II Timotiejui","II Tim",,
56,Titui,Tit,,
57,Filemonui,Flm,,
58,Hebrajams,Hbr,,
59,Jokūbo,Jok,,
60,"I Petro","I Pt",,
61,"II Petro","II Pt",,
62,"I Jono","I Jn",,
63,"II Jono","II Jn",,
64,"III Jono","III Jn",,
65,Judo,Jud,,
66,Apreiškimas,Apr,,
