id,name,shortname,matching1,matching2
1,Pirmā Mozus grāmata (Genesis),1. Moz.,,
2,Otrā Mozus grāmata (Exodus),2. Moz.,,
3,Trešā Mozus grāmata (Leviticus),3. Moz.,,
4,Ceturtā Mozus grāmata (Numeri),4. Moz.,,
5,Piektā Mozus grāmata (Deuteronomium),5. Moz.,,
6,Jozuas grāmata,Joz.,,
7,Soģu grāmata,Soģu,,
8,Rutes grāmata,Rt.,,
9,Pirmā Samuēla grāmata,1. Sam.,,
10,Otrā Samuēla grāmata,2. Sam.,,
11,Pirmā Ķēniņu grāmata,1. Ķēn.,,
12,Otrā Ķēniņu grāmata,2. Ķēn.,,
13,Pirmā Laiku grāmata,1. Lku.,,
14,Otrā Laiku grāmata,2. Lku.,,
15,Ezras grāmata,Ez.,,
16,Nehemijas grāmata,Neh.,,
17,Esteres grāmata,Est.,,
18,Ījaba grāmata,Īj.,,
19,Psalmi,Ps.,,
20,Salamana Pamācības,Sal.p.,,
21,Salamans Mācītājs,Sal.m.,,
22,Salamana Augstā dziesma,A.dz.,,
23,Jesajas grāmata,Jes.,,
24,Jeremijas grāmata,Jer.,,
25,Raudu dziesmas,R.dz.,,
26,Ecēhiēla grāmata,Ec.,,
27,Daniēla grāmata,Dan.,,
28,Hozejas grāmata,Hoz.,,
29,Joēla grāmata,Joēla,,
30,Āmosa grāmata,Am.,,
31,Obadjas grāmata,Ob.,,
32,Jonas grāmata,Jon.,,
33,Mihas grāmata,Mih.,,
34,Nahuma grāmata,Nah.,,
35,Habakuka grāmata,Hab.,,
36,Cefanjas grāmata,Cef.,,
37,Hagaja grāmata,Hag.,,
38,Caharijas grāmata,Cah.,,
39,Maleahija grāmata,Mal.,,
40,Mateja evaņģēlijs,Mt.,,
41,Marka evaņģēlijs,Mk.,,
42,Lūkas evaņģēlijs,Lk.,,
43,Jāņa evaņģēlijs,Jņ.,,
44,Apustuļu darbi,Ap.d.,,
45,Pāvila vēstule romiešiem,Rom.,,
46,Pāvila 1. vēstule korintiešiem,1. Kor.,,
47,Pāvila 2. vēstule korintiešiem,2. Kor.,,
48,Pāvila vēstule galatiešiem,Gal.,,
49,Pāvila vēstule efeziešiem,Ef.,,
50,Pāvila vēstule filipiešiem,Fil.,,
51,Pāvila vēstule kolosiešiem,Kol.,,
52,Pāvila 1. vēstule tesaloniķiešiem,1. Tes.,,
53,Pāvila 2. vēstule tesaloniķiešiem,2. Tes.,,
54,Pāvila 1. vēstule Timotejam,1. Tim.,,
55,Pāvila 2. vēstule Timotejam,2. Tim.,,
56,Pāvila vēstule Titam,Tit.,,
57,Pāvila vēstule Filemonam,Filem.,,
58,Vēstule ebrejiem,Ebr.,,
59,Jēkaba vēstule,Jēk.,,
60,Pētera 1. vēstule,1. Pēt.,,
61,Pētera 2. vēstule,2. Pēt.,,
62,Jāņa 1. vēstule,1. Jņ.,,
63,Jāņa 2. vēstule,2. Jņ.,,
64,Jāņa 3. vēstule,3. Jņ.,,
65,Jūdas vēstule,Jūd.,,
66,Jāņa atklāsmes grāmata,Jņ.atkl.,,
