id,name,shortname,matching1,matching2
1,Genesis,,,
2,Exodus,,,
3,Levitiko,,,
4,Tau,,,
5,Tiuteronomi,,,
6,Joshua,,,
7,Nga Kai-whakawa,,,
8,Ruta,,,
9,1 Hamuera,,,
10,2 Hamuera,,,
11,1 Kingi,,,
12,2 Kingi,,,
13,1 Chronicles,,,
14,2 Chronicles,,,
15,Etera,,,
16,Nehemia,,,
17,Ehetere,,,
18,Hopa,,,
19,Waiata,,,
20,Whakatauki,,,
21,Koheleta,,,
22,Waiata a Horomona,,,
23,Ihaia,,,
24,Heremaia,,,
25,Nga tangi,,,
26,Ezekiela,,,
27,Raniera,,,
28,Hosea,,,
29,Hoera,,,
30,Amoho,,,
31,Oparia,,,
32,Hona,,,
33,Ko Mika,,,
34,Nahumu,,,
35,Hapakuku,,,
36,Ko Tepania,,,
37,Ko Hakai,,,
38,Hakaraia,,,
39,Maraki,,,
40,Matiu,,,
41,Mark,,,
42,Ruka,,,
43,Hone,,,
44,Nga Mahi,,,
45,Roma,,,
46,1 Koriniti,,,
47,2 Koriniti,,,
48,Karatia,,,
49,Epeha,,,
50,Piripi,,,
51,Kolosa,,,
52,1 Teharonika,,,
53,2 Teharonika,,,
54,1 Timoti,,,
55,2 Timoti,,,
56,Taituha,,,
57,Ko Pirimona,,,
58,Hiperu,,,
59,Hemi,,,
60,1 Pita,,,
61,2 Pita,,,
62,1 Hone,,,
63,2 Hone,,,
64,3 Hone,,,
65,Hura,,,
66,Revelation,,,
