id,name,shortname,matching1,matching2,English name
1,ကမ္ဘာဦးကျမ်း,,,,Genesis
2,ထွက်မြောက်ရာကျမ်း။,,,,Exodus
3,ဝတ်ပြုရာကျမ်း,,,,Leviticus
4,တောလည်ရာကျမ်း,,,,Numbers
5,တရားဟောရာကျမ်း,,,,Deuteronomy
6,ယောရှုမှတ်စာ။,,,,Joshua
7,တရားသူကြီးမှတ်စာ,,,,Judges
8,ရုသဝတ္ထု။,,,,Ruth
9,ဓမ္မရာဇဝင်ပဋ္ဌမစောင်,,,,1 Samuel
10,ဓမ္မရာဇဝင်ဒုတိယစောင်။,,,,2 Samuel
11,ဓမ္မရာဇဝင်တတိယစောင်။,,,,1 Kings
12,ဓမ္မရာဇဝင်စတုတ္ထစောင်။,,,,2 Kings
13,ရာဇဝင်ချုပ်ပဌမစောင်။,,,,1 Chronicles
14,ရာဇဝင်ချုပ်ဒုတိယစောင်။,,,,2 Chronicles
15,ဧဇရမှတ်စာ။,,,,Ezra
16,နေဟမိမှတ်စာ။,,,,Nehemiah
17,ဧသတာဝတ္ထု။,,,,Esther
18,ယောဘဝတ္ထု။,,,,Job
19,ဆာလံကျမ်း,,,,Psalms
20,သုတ္တံကျမ်း။,,,,Proverbs
21,ဒေသနာကျမ်း။,,,,Ecclesiastes
22,ရှောလမုန်သီချင်း။,,,,Song of Solomon
23,ဟေရှာယအနာဂတ္တိကျမ်း။,,,,Isaiah
24,ယေရမိအနာဂတ္တိကျမ်း။,,,,Jeremiah
25,ယေရမိမြည်တမ်းစကား။,,,,Lamentations
26,ယေဇကျေလအနာဂတ္တိကျမ်း။,,,,Ezekiel
27,ဒံယေလအနာဂတ္တိကျမ်း။,,,,Daniel
28,ဟောရှေအနာဂတ္တိကျမ်း,,,,Hosea
29,ယောလအနာဂတ္တိကျမ်း။,,,,Joel
30,အာမုတ်အနာဂတ္တိကျမ်း။,,,,Amos
31,ဩဗဒိဗျာဒိတ်ရူပါရုံ,,,,Obadiah
32,ယောနဝတ္ထု၊,,,,Jonah
33,မိက္ခာအနာဂတ္တိကျမ်း။,,,,Micah
34,နာဟုံအနာဂတ္တိကျမ်း,,,,Nahum
35,ဟဗက္ကုတ်အနာဂတ္တိကျမ်း,,,,Habakkuk
36,ဇေဖနိအနာဂတ္တိကျမ်း,,,,Zephaniah
37,ဟဂ္ဂဲအနာဂတ္တိကျမ်း,,,,Haggai
38,ဇာခရိအနာဂတ္တိကျမ်း,,,,Zechariah
39,မာလခိအနာဂတ္တိကျမ်း,,,,Malachi
40,ရှင်မဿဲခရစ်ဝင်။,,,,Matthew
41,ရှင်မာကုခရစ်ဝင်။,,,,Mark
42,ရှင်လုကာခရစ်ဝင်။,,,,Luke
43,ရှင်ယောဟန်ခရစ်ဝင်။,,,,John
44,တမန်တော်ဝတ္ထု။,,,,Acts
45,ရောမဩဝါဒစာ။,,,,Romans
46,ကောရိန္သုဩဝါဒစာပဌမစောင်။,,,,1 Corinthians
47,ကောရိန္သုဩဝါသစာဒုတိယစောင်။,,,,2 Corinthians
48,ဂလာတိဩဝါဒစာ။,,,,Galatians
49,ဧဖက်ဩဝါဒစာ။,,,,Ephesians
50,ဖိလိပ္ပိဩဝါဒစာ။,,,,Philippians
51,ကောလောသဲဩဝါဒစာ,,,,Colossians
52,သက်သာလောနိတ်ဩဝါဒစာပဋ္ဌမစောင်,,,,1 Thessalonians
53,သက်သာလောနိတ်ဩဝါဒစာဒုတိယစောင်,,,,2 Thessalonians
54,တိမောသေဩဝါဒစာပဋ္ဌမစောင်,,,,1 Timothy
55,တိမောသေဩဝါဒစာဒုတိယစောင်,,,,2 Timothy
56,တိတုဩဝါဒစာ,,,,Titus
57,ဖိလေမုန်ဩဝါဒစာ။,,,,Philemon
58,ဟေဗြဲဩဝါဒစာ။,,,,Hebrews
59,ရှင်ယာကုပ်ဩဝါဒစာ။,,,,James
60,ရှင်ပေတရုဩဝါဒစာပဌမစောင်။,,,,1 Peter
61,ရှင်ပေတရုဩဝါဒစာဒုတိယစောင်။,,,,2 Peter
62,ရှင်ယောဟန်ဩဝါဒစာပဌမစောင်။,,,,1 John
63,ရှင်ယောဟန်ဩဝါဒစာဒုတိယစောင်။,,,,2 John
64,ရှင်ယောဟန်ဩဝါဒစာတတိယစောင်။,,,,3 John
65,ရှင်ယုဒဩဝါဒစာ။,,,,Jude
66,ဗျာဒိတ်ကျမ်း။,,,,Revelation
