id,name,shortname,matching1,matching2
1,उत्पत्ति,gen,,
2,प्रस्थान,exo,,
3,लेवीहरू,lev,,
4,गन्ती,num,,
5,व्यवस्था,deu,,
6,यहोशू,jos,,
7,न्यायकर्ताहरू,jdg,,
8,रूथ,rut,,
9,१ शमूएल,1sa,,
10,२ शमूएल,2sa,,
11,१ राजाहरू,1ki,,
12,२ राजाहरू,2ki,,
13,१ इतिहास,1ch,,
14,२ इतिहास,2ch,,
15,एज्रा,ezr,,
16,नहेम्याह,neh,,
17,एस्तर,est,,
18,अय्यूब,job,,
19,भजनसंग्रह,psa,,
20,हितोपदेश,pro,,
21,उपदेशक,ecc,,
22,श्रेष्‍ठगीत,sng,,
23,यशैया,isa,,
24,यर्मिया,jer,,
25,विलाप,lam,,
26,इजकिएल,ezk,,
27,दानिएल,dan,,
28,होशे,hos,,
29,योएल,jol,,
30,आमोस,amo,,
31,ओबदिया,oba,,
32,योना,jon,,
33,मिका,mic,,
34,नहूम,nam,,
35,हबकूक,hab,,
36,सपन्याह,zep,,
37,हाग्‍गै,hag,,
38,जकरिया,zec,,
39,मलाकी,mal,,
40,मत्ती,mat,,
41,मर्कूस,mrk,,
42,लुका,luk,,
43,यूहन्‍ना,jhn,,
44,प्रेरित,act,,
45,रोमी,rom,,
46,१ कोरिन्थी,1co,,
47,२ कोरिन्थी,2co,,
48,गलाती,gal,,
49,एफिसि,eph,,
50,फिलिप्पी,php,,
51,कलस्सी,col,,
52,१ थेसलोनिकी,1th,,
53,२ थेसलोनिकी,2th,,
54,१ तिमोथी,1ti,,
55,२ तिमोथी,2ti,,
56,तीतस,tit,,
57,फिलेमोन,phm,,
58,हिब्रू,heb,,
59,याकूब,jas,,
60,१ पत्रुस,1pe,,
61,२ पत्रुस,2pe,,
62,१ यूहन्‍ना,1jn,,
63,२ यूहन्‍ना,2jn,,
64,३ यूहन्‍ना,3jn,,
65,यहूदा,jud,,
66,प्रकाश,rev,,
