id,name,shortname,matching1,matching2
1,Genesis,,,
2,Exodus,,,
3,Leviticus,,,
4,Numberi,,,
5,Deuteronomium,,,
6,Jozua,,,
7,Richtere,,,
8,Ruth,,,
9,1 Samuël,,,
10,2 Samuël,,,
11,1 Koningen,,,
12,2 Koningen,,,
13,1 Kronieken,,,
14,2 Kronieken,,,
15,Ezra,,,
16,Nehemia,,,
17,Esther,,,
18,Job,,,
19,Psalmen,,,
20,Spreuken,,,
21,Prediker,,,
22,Hooglied,,,
23,Jesaja,,,
24,Jeremia,,,
25,Klaagliederen,,,
26,Ezechiël,,,
27,Daniël,,,
28,Hosea,,,
29,Joël,,,
30,Amos,,,
31,Obadja,,,
32,Jona,,,
33,Micha,,,
34,Nahum,,,
35,Habakuk,,,
36,Zefanja,,,
37,Haggaï,,,
38,Zacharia,,,
39,Maleachi,,,
40,Mattheüs,,,
41,Markus,,,
42,Lukas,,,
43,Johannes,,,
44,Handelingen,,,
45,Romeinen,,,
46,1 Corinthiërs,,,
47,2 Corinthiër,,,
48,Galaten,,,
49,Efeziërs,,,
50,Filippenzen,,,
51,Colossenzen,,,
52,1 Thessalonicenzen,,,
53,2 Thessalonicenzen,,,
54,1 Timotheüs,,,
55,2 Timotheüs,,,
56,Titus,,,
57,Filémon,,,
58,Hebreeën,,,
59,Jakobus,,,
60,1 Petrus,,,
61,2 Petrus,,,
62,1 Johannes,,,
63,2 Johannes,,,
64,3 Johannes,,,
65,Judas,,,
66,Openbaring,,,
