id,name,shortname,matching1,matching2
1,ਉਤ,ਉਤ,,
2,ਕੂਚ,ਕੂਚ,,
3,ਲੇਵੀਆਂ,ਲੇਵੀ,,
4,ਗਿਣਤੀ,ਗਿਣ,,
5,ਬਿਵਸਥਾ,ਬਿਵ,,
6,ਯਹੋਸ਼ੁ,ਯਹੋਸ਼ੁ,,
7,ਨਿਆਂਈ,ਨਿਆਂਈ,,
8,ਰੂਥ,ਰੂਥ,,
9,"1 ਸਮੂ",1ਸਮੂ,,
10,"2 ਸਮੂ",2ਸਮੂ,,
11,"1 ਰਾਜਾ",1ਰਾਜਾ,,
12,"2 ਰਾਜਾ",2ਰਾਜਾ,,
13,"1 ਇਤ",1ਇਤ,,
14,"2 ਇਤ",2ਇਤ,,
15,ਅਜ਼ਰਾ,ਅਜ਼ਰਾ,,
16,ਨਹਮਯਾਹ,ਨਹ,,
17,ਅਸਤਰ,ਅਸਤ,,
18,ਅੱਯੂਬ,ਅੱਯੂਬ,,
19,ਜ਼ਬੂਰ,ਜ਼ਬੂ,,
20,ਕਹਾਉਤਾਂ,ਕਹਾ,,
21,ਉਪਦੇਸ਼ਕ,ਉਪ,,
22,"ਸਰੇਸ਼ਟ ਗੀਤ",ਸਰੇਸ਼ਟ,,
23,ਯਸਾ,ਯਸਾ,,
24,ਯਿਰਮਿਯਾਹ,ਯਿਰ,,
25,ਵਿਰਲਾਪ,ਵਿਰ,,
26,ਹਿਜ਼ਕੀਏਲ,ਹਿਜ਼,,
27,ਦਾਨੀਏਲ,ਦਾਨੀ,,
28,ਹੋਸ਼ੇ,ਹੋਸ਼ੇ,,
29,ਯੋਏਲ,ਯੋਏ,,
30,ਆਮੋਸ,ਆਮੋ,,
31,ਓਬਦਯਾਹ,ਓਬ,,
32,ਯੂਨਾ,ਯੂਨਾ,,
33,ਮੀਕਾ,ਮੀਕਾ,,
34,ਨਹੂਮ,ਨਹੂ,,
35,ਹਬੱਕੂਕ,ਹਬੱ,,
36,ਸਫ਼ਨਯਾਹ,ਸਫ਼,,
37,ਹੱਜਈ,ਹੱਜ,,
38,ਜ਼ਕਰ,ਜ਼ਕ,,
39,ਮਲਾਕੀ,ਮਲਾ,,
40,ਮੱਤੀ,ਮੱਤੀ,,
41,ਮਰਕੁਸ,ਮਰਕੁ,,
42,ਲੂਕਾ,ਲੂਕਾ,,
43,ਯੂਹੰਨਾ,ਯੂਹ,,
44,"ਰਸੂਲਾਂ ਦੇ ਕਰਤੱਬ",ਰਸੂਲਾਂ,,
45,ਰੋਮੀਆਂ,ਰੋਮ,,
46,"1 ਕੁਰਿੰਥੀ",1ਕੁਰਿੰਥੀ,,
47,"2 ਕੁਰਿੰਥੀ",2ਕੁਰਿੰਥੀ,,
48,"ਗਲਤੀਆਂ ਨੂੰ",ਗਲਾ,,
49,ਅਫ਼ਸੀਆਂ,ਅਫ਼,,
50,ਫਿਲਿੱਪੀਆਂ,ਫਿਲਿੱ,,
51,ਕੁਲੁੱਸੀਆਂ,ਕੁਲੁੱ,,
52,"1 ਥੱਸਲੁਨੀਕੀ",1ਥੱਸ,,
53,"2 ਥੱਸਲੁਨੀਕੀ",2ਥੱਸ,,
54,"1 ਤਿਮੋਥਿ",1ਤਿਮ,,
55,"2 ਤਿਮੋਥਿ",2ਤਿਮ,,
56,ਤੀਤੁਸ,ਤੀਤੁ,,
57,ਫਿਲੇਮੋਨ,ਫਿਲੇ,,
58,ਇਬਰਾਨੀ,ਇਬਰਾ,,
59,ਯਾਕੂਬ,ਯਾਕੂ,,
60,"1 ਪਤ",1ਪਤ,,
61,"2 ਪਤ",2ਪਤ,,
62,"1 ਯੂਹੰਨਾ",1ਯੂਹ,,
63,"2 ਯੂਹੰਨਾ",2ਯੂਹ,,
64,"3 ਯੂਹੰਨਾ",3ਯੂਹ,,
65,ਯਹੂਦਾ,ਯਹੂ,,
66,"ਪਰਕਾਸ਼ ਦੀ ਪੋਥੀ",ਪਰਕਾਸ਼,,
