id,name,shortname,matching1,matching2
1,1 Mojżeszowa – Rodzaju,,,
2,2 Mojżeszowa - Wyjścia,,,
3,3 Mojżeszowa - Kapłańska,,,
4,4 Mojżeszowa - Liczb,,,
5,5 Mojżeszowa - Powtórzonego Prawa,,,
6,Jozuego,,,
7,Sędziów,,,
8,Ruty,,,
9,1. Samuelowa,,,
10,2. Samuelowa,,,
11,1. Królewska,,,
12,2. Królewska,,,
13,1. Kronik,,,
14,2. Kronik,,,
15,Ezdraszowa,,,
16,Nehemijaszowa,,,
17,Estery,,,
18,Ijobowa,,,
19,Psalmów,,,
20,Przypowieści Salomonowych,,,
21,Kaznodziei Salomona,,,
22,Pieśń Salomona,,,
23,Izajasz,,,
24,Jeremijasz,,,
25,Treny Jeremijaszowe,,,
26,Ezechyjel,,,
27,Danijel,,,
28,Ozeasza,,,
29,Joel,,,
30,Amos,,,
31,Abdyjasz,,,
32,Jonasz,,,
33,Micheasz,,,
34,Nahum,,,
35,Abakuk,,,
36,Sofonijasz,,,
37,Aggieusz,,,
38,Zacharyjasz,,,
39,Malachyjasz,,,
40,Mateusza,,,
41,Marka,,,
42,Łukasza,,,
43,Jana,,,
44,Dzieje Apostolskie,,,
45,Rzymian,,,
46,1. Koryntów,,,
47,2. Koryntów,,,
48,Galatów,,,
49,Efezów,,,
50,Filipensów,,,
51,Kolosensów,,,
52,1. Tesalonicensów,,,
53,2. Tesalonicensów,,,
54,1. Tymoteusza,,,
55,2. Tymoteusza,,,
56,Tytusa,,,
57,Filemona,,,
58,Żydów,,,
59,Jakóba,,,
60,1. Piotra,,,
61,2. Piotra,,,
62,1. Jana,,,
63,2. Jana,,,
64,1. Jana,,,
65,Judasa,,,
66,Objawienie Jana,,,
