id,name,shortname,matching1,matching2
1,Geneza,,,
2,Exod,,,
3,Levitic,,,
4,Numeri,,,
5,Deuteronom,,,
6,Iosua,,,
7,Judecatori,,,
8,Rut,,,
9,1 Samuel,,,
10,2 Samuel,,,
11,1 Imparati,,,
12,2 Imparati,,,
13,1 Cronici,,,
14,2 Cronici,,,
15,Ezra,,,
16,Neemia,,,
17,Estera,,,
18,Iov,,,
19,Psalmi,,,
20,Proverbe,,,
21,Ecclesiast,,,
22,Cantarea Cantarilor,,,
23,Isaia,,,
24,Ieremia,,,
25,Plângeri,,,
26,Ezechiel,,,
27,Daniel,,,
28,Osea,,,
29,Ioel,,,
30,Amos,,,
31,Obadia,,,
32,Iona,,,
33,Mica,,,
34,Naum,,,
35,Habacuc,,,
36,Tefania,,,
37,Hagai,,,
38,Zaharia,,,
39,Maleahi,,,
40,Matei,,,
41,Marcu,,,
42,Luca,,,
43,Ioan,,,
44,Faptele Apostolilor,,,
45,Romani,,,
46,1 Corinteni,,,
47,2 Corinteni,,,
48,Galateni,,,
49,Efeseni,,,
50,Filipeni,,,
51,Coloseni,,,
52,1 Tesaloniceni,,,
53,2 Tesaloniceni,,,
54,1 Timotei,,,
55,2 Timotei,,,
56,Tit,,,
57,Filimon,,,
58,Evrei,,,
59,Iacob,,,
60,1 Petru,,,
61,2 Petru,,,
62,1 Ioan,,,
63,2 Ioan,,,
64,3 Ioan,,,
65,Iuda,,,
66,Apocalipsa,,,
