id,name,shortname,matching1,matching2
1,бытие,,,
2,Исход,,,
3,Левит,,,
4,Числа,,,
5,Второзаконие,,,
6,Иисус Навин,,,
7,Книга Судей,,,
8,Руфь,,,
9,1-Я Царств,,,
10,2-Я Царств,,,
11,3-Я Царств,,,
12,4-Я Царств,,,
13,1-Я Паралипоменон,,,
14,2-Я Паралипоменон,,,
15,Ездра,,,
16,Неемия,,,
17,Есфирь,,,
18,Иов,,,
19,Псалтирь,,,
20,Притчи,,,
21,Екклесиаст,,,
22,Песни Песней,,,
23,Исаия,,,
24,Иеремия,,,
25,Плач Иеремии,,,
26,Иезекииль,,,
27,Даниил,,,
28,Осия,,,
29,Иоиль,,,
30,Амос,,,
31,Авдия,,,
32,Иона,,,
33,Михей,,,
34,Наум,,,
35,Аввакум,,,
36,Софония,,,
37,Аггей,,,
38,Захария,,,
39,Малахия,,,
40,От Матфея,,,
41,От Марка,,,
42,От Луки,,,
43,От Иоанна,,,
44,Деяния,,,
45,К Римлянам,,,
46,1-Е Коринфянам,,,
47,2-Е Коринфянам,,,
48,К Галатам,,,
49,К Ефесянам,,,
50,К Филиппийцам,,,
51,К Колоссянам,,,
52,1-Е Фессалоникийцам,,,
53,2-Е Фессалоникийцам,,,
54,1-Е Тимофею,,,
55,2-Е Тимофею,,,
56,К Титу,,,
57,К Филимону,,,
58,К Евреям,,,
59,Иакова,,,
60,1-E Петра,,,
61,2-E Петра,,,
62,1-E Иоанна,,,
63,2-E Иоанна,,,
64,3-E Иоанна,,,
65,Иуда,,,
66,Откровение,,,
