id,name,shortname,matching1,matching2,English name
1,Bilowgii ,,,,Genesis
2,Baxniintii ,,,,Exodus
3,Laawiyiintii ,,,,Leviticus
4,Tirintii ,,,,Numbers
5,Sharciga Kunoqoshadiisa ,,,,Deuteronomy
6,Yashuuca ,,,,Joshua
7,Xaakinnada ,,,,Judges
8,Ruud ,,,,Ruth
9,Samuu'eel Kowaad ,,,,1 Samuel
10,Samuu'eel Labaad ,,,,2 Samuel
11,Boqorradii Kowaad ,,,,1 Kings
12,Boqorradii Labaad ,,,,2 Kings
13,Taariikhdii Kowaad ,,,,1 Chronicles
14,Taariikhdii Labaad ,,,,2 Chronicles
15,Cesraa ,,,,Ezra
16,Nexemyaah ,,,,Nehemiah
17,Esteer ,,,,Esther
18,Ayuub ,,,,Job
19,Sabuurradii ,,,,Psalms
20,Maahmaahyadii ,,,,Proverbs
21,Wacdiyahii ,,,,Ecclesiastes
22,Gabaygii Sulaymaan ,,,,Song of Solomon
23,Ishacyaah ,,,,Isaiah
24,Yeremyaah ,,,,Jeremiah
25,Baroorashadii Yeremyaah ,,,,Lamentations
26,Yexesqeel ,,,,Ezekiel
27,Daanyeel ,,,,Daniel
28,Hoosheeca ,,,,Hosea
29,Yoo'eel ,,,,Joel
30,Caamoos ,,,,Amos
31,Cobadyaah ,,,,Obadiah
32,Yoonis ,,,,Jonah
33,Miikaah ,,,,Micah
34,Naxuum ,,,,Nahum
35,Xabaquuq ,,,,Habakkuk
36,Sefanyaah ,,,,Zephaniah
37,Xaggay ,,,,Haggai
38,Sekaryaah ,,,,Zechariah
39,Malaakii ,,,,Malachi
40,Matayos ,,,,Matthew
41,Markos ,,,,Mark
42,Luukos ,,,,Luke
43,Yooxanaa ,,,,John
44,Falimaha Rasuullada,,,,Acts
45,Rooma ,,,,Romans
46,1 Korintos,,,,1 Corinthians
47,2 Korintos,,,,2 Corinthians
48,Galatiya ,,,,Galatians
49,Efesos ,,,,Ephesians
50,Filiboy ,,,,Philippians
51,Kolosay ,,,,Colossians
52,1 Tesaloniika,,,,1 Thessalonians
53,2 Tesaloniika,,,,2 Thessalonians
54,1 Timoteyos,,,,1 Timothy
55,2 Timoteyos,,,,2 Timothy
56,Tiitos ,,,,Titus
57,Filemon ,,,,Philemon
58,Cibraaniyada ,,,,Hebrews
59,Yacquub ,,,,James
60,1 Butros,,,,1 Peter
61,2 Butros,,,,2 Peter
62,1 Yooxanaa,,,,1 John
63,2 Yooxanaa,,,,2 John
64,3 Yooxanaa,,,,3 John
65,Yuudas ,,,,Jude
66,Muujintii ,,,,Revelation
