id,name,shortname,matching1,matching2
1,Zanafilla,,,
2,Eksodi,,,
3,Levítivo,,,
4,Numrat,,,
5,Ligji i Përtërirë,,,
6,Jozueu,,,
7,Gjyqtarët,,,
8,Ruthi,,,
9,1 Samuelit,,,
10,2 Samuelit,,,
11,1 Mbretërve,,,
12,2 Mbretërve,,,
13,1 Kronikave,,,
14,2 Kronikave,,,
15,Esdra,,,
16,Nehemia,,,
17,Ester,,,
18,Jobi,,,
19,Psalmet,,,
20,Fjalët e urta,,,
21,Predikuesi,,,
22,Kantiku i Kantikëve,,,
23,Isaia,,,
24,Jeremia,,,
25,Vajtimet,,,
26,Ezekieli,,,
27,Danieli,,,
28,Osea,,,
29,Joeli,,,
30,Amosi,,,
31,Abdia,,,
32,Jona,,,
33,Mikea,,,
34,Nahumi,,,
35,Habakuku,,,
36,Sofonia,,,
37,Hagai,,,
38,Zakaria,,,
39,Malakia,,,
40,Mateu,,,
41,Marku,,,
42,Lluka,,,
43,Gjoni,,,
44,Veprat,,,
45,Romakeve,,,
46,I Korintasve,,,
47,II Korintasve,,,
48,Galatasve,,,
49,Efesianeve,,,
50,Filipianeve,,,
51,Kolosianeve,,,
52,I Selanikasve,,,
53,I Selanikasve,,,
54,I Timoteut,,,
55,II Timoteut,,,
56,Titit,,,
57,Filemonit,,,
58,Hebrenjte,,,
59,Jakobi,,,
60,I Pjetri,,,
61,II Pjetri,,,
62,I Gjoni,,,
63,II Gjoni,,,
64,III Gjoni,,,
65,Juda,,,
66,Zbulesa,,,
