id,name,shortname,matching1,matching2
1,Mwanzo,,,
2,Kutoka,,,
3,Mambo ya Walawi,,,
4,Hesabu,,,
5,Kumbukumbu la Torati,,,
6,Yoshua,,,
7,Waamuzi,,,
8,Ruthu,,,
9,1 Samweli,,,
10,2 Samweli,,,
11,1 Wafalme,,,
12,2 Wafalme,,,
13,1 Mambo ya Nyakati,,,
14,2 Mambo ya Nyakati,,,
15,Ezra,,,
16,Nehemia,,,
17,Esta,,,
18,Ayubu,,,
19,Zaburi,,,
20,Mithali,,,
21,Mhubiri,,,
22,Wimbo Ulio Bora,,,
23,Isaya,,,
24,Yeremia,,,
25,Maombolezo,,,
26,Ezekieli,,,
27,Danieli,,,
28,Hosea,,,
29,Yoeli,,,
30,Amosi,,,
31,Obadia,,,
32,Yona,,,
33,Mika,,,
34,Nahumu,,,
35,Habakuki,,,
36,Sefania,,,
37,Hagai,,,
38,Zekaria,,,
39,Malaki,,,
40,Mathayo,,,
41,Marko,,,
42,Luka,,,
43,Yohana,,,
44,Matendo ya Mitume,,,
45,Warumi,,,
46,1 Wakorintho,,,
47,2 Wakorintho,,,
48,Wagalatia,,,
49,Waefeso,,,
50,Wafilipi,,,
51,Wakolosai,,,
52,1 Wathesalonike,,,
53,2 Wathesalonike,,,
54,1 Timotheo,,,
55,2 Timotheo,,,
56,Tito,,,
57,Filemoni,,,
58,Waebrania,,,
59,Yakobo,,,
60,1 Petro,,,
61,2 Petro,,,
62,1 Yohana,,,
63,2 Yohana,,,
64,3 Yohana,,,
65,Yuda,,,
66,Ufunuo wa Yohana,,,
