id,name,shortname,matching1,matching2,English name
1,ஆதியாகமம்,,,,Genesis
2,யாத்திராகமம்,,,,Exodus
3,லேவியராகமம்,,,,Leviticus
4,எண்ணாகமம்,,,,Numbers
5,உபாகமம்,,,,Deuteronomy
6,யோசுவா,,,,Joshua
7,நியாயாதிபதிகள்,,,,Judges
8,ரூத்,,,,Ruth
9,1 சாமுவேல்,,,,1 Samuel
10,2 சாமுவேல்,,,,2 Samuel
11,1 இராஜாக்கள்,,,,1 Kings
12,2 இராஜாக்கள்,,,,2 Kings
13,1 நாளாகமம்,,,,1 Chronicles
14,2 நாளாகமம்,,,,2 Chronicles
15,எஸ்றா,,,,Ezra
16,நெகேமியா,,,,Nehemiah
17,எஸ்தர்,,,,Esther
18,யோபு,,,,Job
19,சங்கீதம்,,,,Psalms
20,நீதிமொழிகள்,,,,Proverbs
21,பிரசங்கி,,,,Ecclesiastes
22,உன்னதப்பாட்டு,,,,Song of Solomon
23,ஏசாயா,,,,Isaiah
24,எரேமியா,,,,Jeremiah
25,புலம்பல்,,,,Lamentations
26,எசேக்கியேல்,,,,Ezekiel
27,தானியேல்,,,,Daniel
28,ஓசியா,,,,Hosea
29,யோவேல்,,,,Joel
30,ஆமோஸ்,,,,Amos
31,ஒபதியா,,,,Obadiah
32,யோனா,,,,Jonah
33,மீகா,,,,Micah
34,நாகூம்,,,,Nahum
35,ஆபகூக்,,,,Habakkuk
36,செப்பனியா,,,,Zephaniah
37,ஆகாய்,,,,Haggai
38,சகரியா,,,,Zechariah
39,மல்கியா,,,,Malachi
40,மத்தேயு,,,,Matthew
41,மாற்கு,,,,Mark
42,லுூக்கா,,,,Luke
43,யோவான்,,,,John
44,அப்போஸ்தலருடைய நடபடிகள்,,,,Acts
45,ரோமர்,,,,Romans
46,1 கொரிந்தியர்,,,,1 Corinthians
47,2 கொரிந்தியர்,,,,2 Corinthians
48,கலாத்தியர்,,,,Galatians
49,எபேசியர்,,,,Ephesians
50,பிலிப்பியர்,,,,Philippians
51,கொலோசெயர்,,,,Colossians
52,1 தெசலோனிக்கேயர்,,,,1 Thessalonians
53,2 தெசலோனிக்கேயர்,,,,2 Thessalonians
54,1 தீமோத்தேயு,,,,1 Timothy
55,2 தீமோத்தேயு,,,,2 Timothy
56,தீத்து,,,,Titus
57,பிலேமோன்,,,,Philemon
58,எபிரெயர்,,,,Hebrews
59,யாக்கோபு,,,,James
60,1 பேதுரு,,,,1 Peter
61,2 பேதுரு,,,,2 Peter
62,1 யோவான்,,,,1 John
63,2 யோவான்,,,,2 John
64,3 யோவான்,,,,3 John
65,யூதா,,,,Jude
66,வெளிப்படுத்தின விசேஷம்,,,,Revelation
