id,name,shortname,matching1,matching2
1,ఆది,ఆది,,
2,నిర్గమ,నిర్గ,,
3,లేవీ,లేవీ,,
4,సంఖ్యా,సంఖ్యా,,
5,ద్వితీ,ద్వితీ,,
6,యెహో,యెహో,,
7,న్యాయా,న్యాయా,,
8,రూతు,రూతు,,
9,"1 సమూ",1సమూ,,
10,"2 సమూ",2సమూ,,
11,"1 రాజులు",1రాజులు,,
12,"2 రాజులు",2రాజులు,,
13,"1 దిన",1దిన,,
14,"2 దిన",2దిన,,
15,ఎజ్రా,ఎజ్రా,,
16,నెహెమ్యా,నెహె,,
17,ఎస్తేరు,ఎస్తే,,
18,యోబు,యోబు,,
19,కీర్తన,కీర్త,,
20,సామెత,సామె,,
21,ప్రసంగి,ప్రస,,
22,పరమ,పరమ,,
23,యెషయా,యెష,,
24,యిర్మీయా,యిర్మీ,,
25,"విలాప వాక్యములు",విలాప,,
26,యెహెజ్కేలు,యెహె,,
27,దానియేలు,దాని,,
28,హోషేయ,హోషే,,
29,యోవేలు,యోవే,,
30,ఆమోసు,ఆమో,,
31,ఓబద్యా,ఓబద్యా,,
32,యోనా,యోనా,,
33,మీకా,మీకా,,
34,నహూము,నహూ,,
35,హబక్కూకు,హబ,,
36,జెఫన్యా,జెఫ,,
37,హగ్గయి,హగ్గ,,
38,జెకర్యా,జెక,,
39,మలాకీ,మలా,,
40,మత్తయి,మత్తయి,,
41,మార్కు,మార్కు,,
42,లూకా,లూకా,,
43,యోహాను,యోహా,,
44,"అపొస్తలుల కార్యములు",అపొ.కా.,,
45,"రోమీయులకు రాసిన పత్రిక",రోమా,,
46,"1 కొరింతీ పత్రిక",1కొరింతీ,,
47,"2 కొరింతీ పత్రిక",2కొరింతీ,,
48,"గలతీ పత్రిక",గలతీ,,
49,"ఎఫెసీ పత్రిక",ఎఫెసీ,,
50,"ఫిలిప్పీ పత్రిక",ఫిలిప్పీ,,
51,"కొలస్స పత్రిక",కొలస్స,,
52,"1 తెస్సలోనిక పత్రిక",1తెస్స,,
53,"2 తెస్సలోనిక పత్రిక",2తెస్స,,
54,"1 తిమోతి పత్రిక",1తిమో,,
55,"2 తిమోతి పత్రిక",2తిమో,,
56,"తీతు పత్రిక",తీతు,,
57,"ఫిలేమోను పత్రిక",ఫిలే,,
58,"హెబ్రీ పత్రిక",హెబ్రీ,,
59,"యాకోబు పత్రిక",యాకో,,
60,"1 పేతురు పత్రిక",1పేతు,,
61,"2 పేతురు పత్రిక",2పేతు,,
62,"1 యోహాను పత్రిక",1యోహా,,
63,"2 యోహాను పత్రిక",2యోహా,,
64,"3 యోహాను పత్రిక",3యోహా,,
65,"యూదా పత్రిక",యూదా,,
66,"ప్రకటన గ్రంథము",ప్రక,,
