id,name,shortname,matching1,matching2
1,Genesis,,,
2,Exodo,,,
3,Levitico,,,
4,Mga Bilang,,,
5,Deuteronomio,,,
6,Josue,,,
7,Mga Hukomt,,,
8,Ruth,,,
9,1 Samuel,,,
10,2 Samuel,,,
11,1 Mga Hari,,,
12,2 Mga Hari,,,
13,1 Mga Cronica,,,
14,2 Mga Cronica,,,
15,Ezra,,,
16,Nehemias,,,
17,Ester,,,
18,Job,,,
19,Mga Awit,,,
20,Mga Kawikaan,,,
21,Ang Mangangaral,,,
22,Ang Awit ni Solomon,,,
23,Isaias,,,
24,Jeremias,,,
25,Mga Panaghoy,,,
26,Ezekiel,,,
27,Daniel,,,
28,Hosea,,,
29,Joel,,,
30,Amos,,,
31,Obadias,,,
32,Jonas,,,
33,Mikas,,,
34,Nahum,,,
35,Habakkuk,,,
36,Zefanias,,,
37,Hagai,,,
38,Zacarias,,,
39,Malakias,,,
40,Mateo,,,
41,Marcos,,,
42,Lucas,,,
43,Juan,,,
44,Mga Gawa,,,
45,Mga Taga-Roma,,,
46,1 Mga Taga-Corinto,,,
47,2 Mga Taga-Corinto,,,
48,Mga Taga-Galacia,,,
49,Mga Taga-Efeso,,,
50,Mga Taga-Filipos,,,
51,Mga Taga-Colosas,,,
52,1 Mga Taga-Tesalonica,,,
53,2 Mga Taga-Tesalonica,,,
54,1 Timoteo,,,
55,2 Timoteo,,,
56,Tito,,,
57,Filemon,,,
58,Mga Hebreo,,,
59,Santiago,,,
60,1 Pedro,,,
61,2 Pedro,,,
62,1 Juan,,,
63,2 Juan,,,
64,3 Juan,,,
65,Judas,,,
66,Pahayag,,,
