id,name,shortname,matching1,matching2
1,Yaratılış ,,,
2,Mısır'dan Çıkış ,,,
3,Levililer ,,,
4,Çölde Sayım ,,,
5,Yasa'nın Tekrar ,,,
6,Yeşu ,,,
7,Hakimler ,,,
8,Rut ,,,
9,1 Samuel ,,,
10,2 Samuel ,,,
11,1. Krallar ,,,
12,2. Krallar ,,,
13,1. Tarihler ,,,
14,2. Tarihler ,,,
15,Ezra ,,,
16,Nehemya ,,,
17,Ester ,,,
18,Eyüp ,,,
19,Mezmurlar ,,,
20,Süleyman'ın Özdeyişleri ,,,
21,Vaiz ,,,
22,Ezgiler Ezgisi ,,,
23,Yeşaya ,,,
24,Yeremya ,,,
25,Ağıtlar ,,,
26,Hezekiel ,,,
27,Daniel ,,,
28,Hoşea ,,,
29,Yoel ,,,
30,Amos ,,,
31,Ovadya ,,,
32,Yunus ,,,
33,Mika ,,,
34,Nahum ,,,
35,Habakkuk ,,,
36,Sefanya ,,,
37,Hagay ,,,
38,Zekeriya ,,,
39,Malaki ,,,
40,Matta ,,,
41,Markos ,,,
42,Luka ,,,
43,Yuhanna ,,,
44,Resullerin ,,,
45,Romalılara ,,,
46,1 Korintoslulara ,,,
47,2 Korintoslulara ,,,
48,Galatyalılara ,,,
49,Efeslilere ,,,
50,Filipililere ,,,
51,Koloselilere ,,,
52,1 Selaniklilere ,,,
53,2 Selaniklilere ,,,
54,1 Timoteosa ,,,
55,2 Timoteosa ,,,
56,Titusa ,,,
57,Filimona ,,,
58,İbranilere ,,,
59,Yakub'un ,,,
60,1 Petrus'un ,,,
61,2 Petrus'un ,,,
62,1 Yuhanna'nın ,,,
63,2 Yuhanna'nın ,,,
64,3 Yuhanna'nın ,,,
65,Yahuda'nın ,,,
66,Vahiy ,,,
