id,name,shortname,matching1,matching2
1,يارىتىلىش,يار.,,
2,"مىسىردىن‭ ‬چىقىش‭ ‬",مىس.,,
3,لاۋىيلار,لاۋ.,,
4,"چۆل‭-‬باياۋاندىكى‭ ‬سەپەر",چۆل.,,
5,"قانۇن‭ ‬شەرھى",قان.,,
6,يەشۇئا,يە.,,
7,"باتۇر ھاكىملار",ھاك.,,
8,رۇت,رۇت,,
9,"سامۇئىل «1»",1سام.,,
10,"سامۇئىل «2»",2سام.,,
11,"پادىشاھلار «1»",1پاد.,,
12,"پادىشاھلار «2»",2پاد.,,
13,"تارىخ-تەزكىرە «1»",1تار.,,
14,"تارىخ-تەزكىرە «2»",2تار.,,
15,ئەزرا,ئەزرا,,
16,نەھەمىيا,نەھ.,,
17,ئەستەر,ئەست.,,
18,ئايۇپ,ئايۇپ,,
19,زەبۇر,زەب.,,
20,پەند-نەسىھەتلەر,پەند.,,
21,"ھېكمەت توپلىغۇچى",توپ.,,
22,"كۈيلەرنىڭ كۈيى",كۈي.,,
23,يەشايا,يەش.,,
24,يەرەمىيا,يەر.,,
25,"يەرەمىيانيڭ يىغا-زارلىرى",يىغ.,,
26,ئەزاكىيال,ئ‍ەز.,,
27,دانىيال,دان.,,
28,ھوشىيا,ھوش.,,
29,يوئېل,يو.,,
30,ئاموس,ئام.,,
31,ئوبادىيا,ئ‍وب.,,
32,يۇنۇس,يۇن.,,
33,مىكاھ,مىك.,,
34,ناھۇم,ناھ.,,
35,ھاباككۇك,ھاب.,,
36,زەفانىيا,زەف.,,
37,ھاگاي,ھاگ.,,
38,زەكەرىيا,زەك.,,
39,مالاكى,مال.,,
40,ماتتا,مات.,,
41,ماركۇس,مار.,,
42," لۇقا",لۇقا,,
43,يۇھاننا,يـۇھ.,,
44,"روسۇللارنىڭ پائالىيەتلىرى",روس.,,
45,رىملىقلارغا,رىم.,,
46,"كورىنتۇسلۇقلارغا «1»",1كور.,,
47,"كورىنتۇسلۇقلارغا «2»",2كور.,,
48,گالاتىيالىقلارغا,گال.,,
49,ئ‍ەفەسۇسلۇقلارغا,ئ‍ەف.,,
50,فىلىپپىلىقلارغا,فىل.,,
51,كولوسسىلىكلەرگە,كول.,,
52,"تېسالونىكالىقلارغا «1»",1تېس.,,
53,"تېسالونىكالىقلارغا «2»",2تېس.,,
54,"تىموتىيغا «1»",1تىم.,,
55,"تىموتىيغا «2»",2تىم.,,
56,تىتۇسقا,تىت.,,
57,فىلېمونغا,فلم.,,
58,ئىبرانىيلارغا,ئ‍ىبر.,,
59,ياقۇپ,ياق.,,
60,"پېترۇس «1»",1پېت.,,
61,"پېترۇس «2»",2پېت.,,
62,"يۇھاننا «1»",1يۇھ.,,
63,"يۇھاننا «2»",2يۇھ.,,
64,"يۇھاننا «3»",3يۇھ.,,
65,يەھۇدا,يەھ.,,
66,ۋەھىي,ۋەھ.,,
