id,name,shortname,matching1,matching2
1,پَیدایش,پَید,,
2,خروج,خر,,
3,احبار,احبا,,
4,گِنتی,گِن,,
5,اِستِثنا,اِست,,
6,یشوع,یشو,,
7,قُضاۃ,قضا,,
8,روت,روت,,
9,۱-سموئیل,١۔سمو,,
10,۲-سموئیل,٢۔سمو,,
11,۱-سلاطِین,١۔سلا,,
12,۲-سلاطِین,٢۔سلا,,
13,۱-توارِیخ,١۔توا,,
14,۲-توارِیخ,٢۔توا,,
15,عزرا,عز,,
16,نحمیاہ,نحم,,
17,آستر,آستر,,
18,ایوب,ایو,,
19,زبور,زبور,,
20,امثال,امثا,,
21,واعظ,واعظ,,
22,"غزلُ الغزلات",غزل,,
23,یسعیاہ,یسع,,
24,یرمیاہ,یرم,,
25,نوحہ,نوحہ,,
26,"حزقی ایل",حِز,,
27,دانیال,دان,,
28,ہوسیع,ہوس,,
29,یوایل,یوایل,,
30,عاموس,عامو,,
31,عبدیاہ,عبد,,
32,یونس,یونس,,
33,میکاہ,میک,,
34,ناحوم,ناح,,
35,حبقوق,حبق,,
36,صفنیاہ,صفن,,
37,حجی,حجی,,
38,زکریاہ,زک,,
39,ملاکی,ملا,,
40,متی,متی,,
41,مرقس,مر,,
42,لوقا,لو,,
43,یوحنا,یوح,,
44,اعمال,اعما,,
45,رومیوں,روم,,
46,۱-کُرِنتِھیوں,١۔کر,,
47,۲-کُرِنتِھیوں,٢۔کر,,
48,گلتیوں,گل,,
49,اِفسِیوں,اِفس,,
50,فِلپّیوں,فِل,,
51,کُلسِیوں,کلس,,
52,۱-تِھسّلُنیکیوں,١۔تھس,,
53,۲-تِھسّلُنیکیوں,٢۔تھس,,
54,۱-تیمُتھیُس,١۔تیم,,
55,۲-تیمُتھیُس,٢۔تیم,,
56,طِطُس,طِط,,
57,فلیمون,فلیم,,
58,عبرانیوں,عِبر,,
59,یعقوب,یعقو,,
60,۱-پطرس,١۔پطر,,
61,۲-پطرس,٢۔پطر,,
62,۱-یوحنا,١۔یوح,,
63,۲-یوحنا,٢۔یوح,,
64,۳-یوحنا,٣۔یوح,,
65,یہوداہ,یہود,,
66,مکاشفہ,مکا,,
