id,name,shortname,matching1,matching2
1,Sáng-thế Ký,,,
2,Xuất Ê-díp-tô Ký,,,
3,Lê-vi Ký,,,
4,Dân-số Ký,,,
5,Phục-truyền Luật-lệ Ký,,,
6,Giô-suê,,,
7,Các Quan Xét,,,
8,Ru-tơ,,,
9,1 Sa-mu-ên,,,
10,2 Sa-mu-ên,,,
11,1 Các Vua,,,
12,2 Các Vua,,,
13,1 Sử-ký,,,
14,2 Sử-ký,,,
15,Ê-xơ-ra,,,
16,Nê-hê-mi,,,
17,Ê-xơ-tê,,,
18,Gióp,,,
19,Thi-thiên,,,
20,Châm-ngôn,,,
21,Truyền-đạo,,,
22,Nhã-ca,,,
23,Ê-sai,,,
24,Giê-rê-mi,,,
25,Ca-thương,,,
26,Ê-xê-chi-ên,,,
27,Đa-ni-ên,,,
28,Ô-sê,,,
29,Giô-ên,,,
30,A-mốt,,,
31,Áp-đia,,,
32,Giô-na,,,
33,Mi-chê,,,
34,Na-hum,,,
35,Ha-ba-cúc,,,
36,Sô-phô-ni,,,
37,A-ghê,,,
38,Xa-cha-ri,,,
39,Ma-la-chi,,,
40,Ma-thi-ơ,,,
41,Mác,,,
42,Lu-ca,,,
43,Giăng,,,
44,Công-vụ các Sứ-đồ,,,
45,Rô-ma,,,
46,1 Cô-rinh-tô,,,
47,2 Cô-rinh-tô,,,
48,Ga-la-ti,,,
49,Ê-phê-sô,,,
50,Phi-líp,,,
51,Cô-lô-se,,,
52,1 Tê-sa-lô-ni-ca,,,
53,2 Tê-sa-lô-ni-ca,,,
54,1 Ti-mô-thê,,,
55,2 Ti-mô-thê,,,
56,Tit,,,
57,Phi-lê-môn,,,
58,Hê-bơ-rơ,,,
59,Gia-cơ,,,
60,1 Phi-e-rơ,,,
61,2 Phi-e-rơ,,,
62,1 Giăng,,,
63,2 Giăng,,,
64,3 Giăng,,,
65,Giu-đe,,,
66,Khải-huyền,,,
