id,name,shortname,matching1,matching2
1,﻿創 世 記,,,
2,出 埃 及 記,,,
3,利 未 記,,,
4,民 數 記,,,
5,申 命 記,,,
6,約 書 亞 記,,,
7,士 師 記,,,
8,路 得 記,,,
9,撒 母 耳 記 上,,,
10,撒 母 耳 記 下,,,
11,列 王 紀 上,,,
12,列 王 紀 下,,,
13,歷 代 志 上,,,
14,歷 代 志 下,,,
15,以 斯 拉 記,,,
16,尼 希 米 記,,,
17,以 斯 帖 記,,,
18,約 伯 記,,,
19,詩 篇,,,
20,箴 言,,,
21,傳 道 書,,,
22,雅 歌,,,
23,以 賽 亞 書,,,
24,耶 利 米 書,,,
25,耶 利 米 哀 歌,,,
26,以 西 結 書,,,
27,但 以 理 書,,,
28,何 西 阿 書,,,
29,約 珥 書,,,
30,阿 摩 司 書,,,
31,俄 巴 底 亞 書,,,
32,約 拿 書,,,
33,彌 迦 書,,,
34,那 鴻 書,,,
35,哈 巴 谷 書,,,
36,西 番 雅 書,,,
37,哈 該 書,,,
38,撒 迦 利 亞,,,
39,瑪 拉 基 書,,,
40,馬 太 福 音,,,
41,馬 可 福 音,,,
42,路 加 福 音,,,
43,約 翰 福 音,,,
44,使 徒 行 傳,,,
45,羅 馬 書,,,
46,歌 林 多 前 書,,,
47,歌 林 多 後 書,,,
48,加 拉 太 書,,,
49,以 弗 所 書,,,
50,腓 立 比 書,,,
51,歌 羅 西 書,,,
52,帖 撒 羅 尼 迦 前 書,,,
53,帖 撒 羅 尼 迦 後 書,,,
54,提 摩 太 前 書,,,
55,提 摩 太 後 書,,,
56,提 多 書,,,
57,腓 利 門 書,,,
58,希 伯 來 書,,,
59,雅 各 書,,,
60,彼 得 前 書,,,
61,彼 得 後 書,,,
62,約 翰 一 書,,,
63,約 翰 二 書,,,
64,約 翰 三 書,,,
65,猶 大 書,,,
66,启 示 录,,,
