"id","from_book","from_chapter","from_verse","to_book","to_chapter_start","to_verse_start","to_chapter_end","to_verse_end","votes"
"1","1","1","1","66","22","13","22","13","56"
"2","1","1","1","19","89","11","89","12","61"
"3","1","1","1","45","11","36","11","36","58"
"4","1","1","1","20","8","22","8","30","73"
"5","1","1","1","43","1","1","1","3","362"
"6","1","1","1","45","1","19","1","20","55"
"7","1","1","1","66","3","14","3","14","42"
"8","1","1","1","23","40","28","40","28","61"
"9","1","1","1","66","14","7","14","7","77"
"10","1","1","1","19","124","8","124","8","66"
"11","1","1","1","24","10","12","10","12","72"
"12","1","1","1","19","90","2","90","2","58"
"13","1","1","1","19","121","2","121","2","61"
"14","1","1","1","23","40","26","40","26","55"
"15","1","1","1","19","104","30","104","30","56"
"16","1","1","1","58","1","2","1","2","61"
"17","1","1","1","44","14","15","14","15","74"
"18","1","1","1","44","4","24","4","24","59"
"19","1","1","1","66","4","11","4","11","196"
"20","1","1","1","16","9","6","9","6","96"
"21","1","1","1","66","10","6","10","6","58"
"22","1","1","1","51","1","16","1","17","161"
"23","1","1","1","13","16","26","16","26","54"
"24","1","1","1","24","32","17","32","17","87"
"25","1","1","1","19","33","9","33","9","84"
"26","1","1","1","58","1","10","1","10","183"
"27","1","1","1","40","11","25","11","25","13"
"28","1","1","1","44","17","24","17","24","126"
"29","1","1","1","19","33","6","33","6","62"
"30","1","1","1","19","148","4","148","5","55"
"31","1","1","1","24","51","15","51","15","85"
"32","1","1","1","66","21","6","21","6","55"
"33","1","1","1","19","115","15","115","15","76"
"34","1","1","1","19","102","25","102","25","66"
"35","1","1","1","38","12","1","12","1","61"
"36","1","1","1","21","12","1","12","1","20"
"37","1","1","1","62","1","1","1","1","55"
"38","1","1","1","19","104","24","104","24","61"
"39","1","1","1","23","51","16","51","16","56"
"40","1","1","1","23","44","24","44","24","93"
"41","1","1","1","19","136","5","136","5","73"
"42","1","1","1","19","146","6","146","6","56"
"43","1","1","1","58","3","4","3","4","62"
"44","1","1","1","23","45","18","45","18","237"
"45","1","1","1","18","26","13","26","13","38"
"46","1","1","1","2","31","18","31","18","-38"
"47","1","1","1","19","134","3","134","3","56"
"48","1","1","1","18","38","4","38","4","138"
"49","1","1","1","46","8","6","8","6","68"
"50","1","1","1","20","3","19","3","19","80"
