Name,Native Name (endonym),ISO language name,Code (639-1),ISO endonym,RTL,Language family,639-1,639-2/T,639-2/B,639-3,Notes
Afar,Afaraf,Afar,aa,Afaraf,No,Afro-Asiatic,aa,aar,aar,aar,
Amharic,አማርኛ,Amharic,am,አማርኛ,No,Afro-Asiatic,am,amh,amh,amh,
Arabic,العربية,Arabic,ar,العربية,Yes,Afro-Asiatic,ar,ara,ara,ara + 29,"macrolanguage, Standard Arabic is [arb]"
Hausa,(Hausa) هَوُسَ,Hausa,ha,(Hausa) هَوُسَ,No,Afro-Asiatic,ha,hau,hau,hau,"Has used Latin-based alphabet since 1930, left-to-right.  Used an Arabic alphabet previously"
Hebrew,עברית,Hebrew,he,עברית,Yes,Afro-Asiatic,he,heb,heb,heb,"Modern Hebrew. Code changed in 1989 from original ISO 639:1988, iw.[1]"
Maltese,Malti,Maltese,mt,Malti,No,Afro-Asiatic,mt,mlt,mlt,mlt,
Oromo,Afaan Oromoo,Oromo,om,Afaan Oromoo,No,Afro-Asiatic,om,orm,orm,orm + 4,macrolanguage
Somali,"Soomaaliga, af Soomaali",Somali,so,"Soomaaliga, af Soomaali",No,Afro-Asiatic,so,som,som,som,
Tigrinya,ትግርኛ,Tigrinya,ti,ትግርኛ,No,Afro-Asiatic,ti,tir,tir,tir,
Cree,ᓀᐦᐃᔭᐍᐏᐣ,Cree,cr,ᓀᐦᐃᔭᐍᐏᐣ,No,Algonquian,cr,cre,cre,cre + 6,macrolanguage
Ojibwa,ᐊᓂᔑᓈᐯᒧᐎᓐ,Ojibwa,oj,ᐊᓂᔑᓈᐯᒧᐎᓐ,No,Algonquian,oj,oji,oji,oji + 7,"macrolanguage, also known as Ojibwe"
Central Khmer,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ",Central Khmer,km,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ",No,Austroasiatic,km,khm,khm,khm,also known as Khmer or Cambodian
Vietnamese,Tiếng Việt,Vietnamese,vi,Tiếng Việt,No,Austroasiatic,vi,vie,vie,vie,
Chamorro,Chamoru,Chamorro,ch,Chamoru,No,Austronesian,ch,cha,cha,cha,
Fijian,vosa Vakaviti,Fijian,fj,vosa Vakaviti,No,Austronesian,fj,fij,fij,fij,
Hiri Motu,Hiri Motu,Hiri Motu,ho,Hiri Motu,No,Austronesian,ho,hmo,hmo,hmo,
Indonesian,Bahasa Indonesia,Indonesian,id,Bahasa Indonesia,No,Austronesian,id,ind,ind,ind,"Covered by macrolanguage [ms/msa]. Changed in 1989 from original ISO 639:1988, in[1]."
Javanese,"ꦧꦱꦗꦮ, Basa Jawa",Javanese,jv,"ꦧꦱꦗꦮ, Basa Jawa",No,Austronesian,jv,jav,jav,jav,
Malagasy,fiteny malagasy,Malagasy,mg,fiteny malagasy,No,Austronesian,mg,mlg,mlg,mlg + 11,macrolanguage
Malay,"Bahasa Melayu, بهاس ملايو‎",Malay,ms,"Bahasa Melayu, بهاس ملايو‎",No,Austronesian,ms,msa,may,msa + 36,"macrolanguage, Standard Malay is [zsm], Indonesian is [id/ind]"
Maori,te reo Māori,Maori,mi,te reo Māori,No,Austronesian,mi,mri,mao,mri,also known as Māori
Marshallese,Kajin M̧ajeļ,Marshallese,mh,Kajin M̧ajeļ,No,Austronesian,mh,mah,mah,mah,
Nauru,Dorerin Naoero,Nauru,na,Dorerin Naoero,No,Austronesian,na,nau,nau,nau,also known as Nauruan
Samoan,gagana fa'a Samoa,Samoan,sm,gagana fa'a Samoa,No,Austronesian,sm,smo,smo,smo,
Sundanese,Basa Sunda,Sundanese,su,Basa Sunda,No,Austronesian,su,sun,sun,sun,
Tagalog,Wikang Tagalog,Tagalog,tl,Wikang Tagalog,No,Austronesian,tl,tgl,tgl,tgl,Note: Filipino (Pilipino) has the code [fil]
Tonga (Tonga Islands),Faka Tonga,Tonga (Tonga Islands),to,Faka Tonga,No,Austronesian,to,ton,ton,ton,also known as Tongan
Tahitian,Reo Tahiti,Tahitian,ty,Reo Tahiti,No,Austronesian,ty,tah,tah,tah,One of the Reo Mā`ohi (languages of French Polynesia)
Aymara,aymar aru,Aymara,ay,aymar aru,No,Aymaran,ay,aym,aym,aym + 2,macrolanguage
Esperanto,Esperanto,Esperanto,eo,Esperanto,No,Constructed,eo,epo,epo,epo,"constructed, initiated from L.L. Zamenhof, 1887"
Interlingua (International Auxiliary Language Association),Interlingua,Interlingua (International Auxiliary Language Association),ia,Interlingua,No,Constructed,ia,ina,ina,ina,constructed by International Auxiliary Language Association
"Interlingue, Occidental","Interlingue, Occidental","Interlingue, Occidental",ie,"(originally:) Occidental, (after WWII:) Interlingue",No,Constructed,ie,ile,ile,ile,"constructed by Edgar de Wahl, first published in 1922"
Ido,Ido,Ido,io,Ido,No,Constructed,io,ido,ido,ido,"constructed by De Beaufront, 1907, as variation of Esperanto"
Volapük,Volapük,Volapük,vo,Volapük,No,Constructed,vo,vol,vol,vol,constructed
Bislama,Bislama,Bislama,bi,Bislama,No,Creole,bi,bis,bis,bis,"Language formed from English and Ni-Vanuatu, with some French influence."
"Haitian, Haitian Creole",Kreyòl ayisyen,"Haitian, Haitian Creole",ht,Kreyòl ayisyen,No,Creole,ht,hat,hat,hat,
Sango,yângâ tî sängö,Sango,sg,yângâ tî sängö,No,Creole,sg,sag,sag,sag,
"Navajo, Navaho",Diné bizaad,"Navajo, Navaho",nv,Diné bizaad,No,Dené–Yeniseian,nv,nav,nav,nav,
Kannada,ಕನ್ನಡ,Kannada,kn,ಕನ್ನಡ,No,Dravidian,kn,kan,kan,kan,
Malayalam,മലയാളം,Malayalam,ml,മലയാളം,No,Dravidian,ml,mal,mal,mal,
Tamil,தமிழ்,Tamil,ta,தமிழ்,No,Dravidian,ta,tam,tam,tam,
Telugu,తెలుగు,Telugu,te,తెలుగు,No,Dravidian,te,tel,tel,tel,
Inupiaq,"Iñupiaq, Iñupiatun",Inupiaq,ik,"Iñupiaq, Iñupiatun",No,Eskimo–Aleut,ik,ipk,ipk,ipk + 2,macrolanguage
Inuktitut,ᐃᓄᒃᑎᑐᑦ,Inuktitut,iu,ᐃᓄᒃᑎᑐᑦ,No,Eskimo–Aleut,iu,iku,iku,iku + 2,macrolanguage
"Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii","Kalaallisut, Greenlandic",kl,"kalaallisut, kalaallit oqaasii",No,Eskimo–Aleut,kl,kal,kal,kal,
Afrikaans,Afrikaans,Afrikaans,af,Afrikaans,No,Indo-European,af,afr,afr,afr,
Albanian,Shqip,Albanian,sq,Shqip,No,Indo-European,sq,sqi,alb,sqi + 4,"macrolanguage, ""Albanian Phylozone"" in 639-6"
