Code,Display Name (editable),Native Name (Display),ISO English name of Language,ISO 639-2 Code,RTL,Comments
ace,Achinese,,Achinese,ace,No,
ach,Acoli,,Acoli,ach,No,
ada,Adangme,,Adangme,ada,No,
ady,Adyghe; Adygei,,Adyghe; Adygei,ady,No,
afa,Afro-Asiatic languages,,Afro-Asiatic languages,afa,No,
afh,Afrihili,,Afrihili,afh,No,
ain,Ainu,,Ainu,ain,No,
akk,Akkadian,,Akkadian,akk,No,
ale,Aleut,,Aleut,ale,No,
alg,Algonquian languages,,Algonquian languages,alg,No,
alt,Southern Altai,,Southern Altai,alt,No,
ang,"English, Old (ca.450-1100)",,"English, Old (ca.450-1100)",ang,No,
anp,Angika,,Angika,anp,No,
apa,Apache languages,,Apache languages,apa,No,
arc,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),arc,No,
arn,Mapudungun; Mapuche,,Mapudungun; Mapuche,arn,No,
arp,Arapaho,,Arapaho,arp,No,
art,Artificial languages,,Artificial languages,art,No,
arw,Arawak,,Arawak,arw,No,
ast,Asturian; Bable; Leonese; Asturleonese,,Asturian; Bable; Leonese; Asturleonese,ast,No,
ath,Athapascan languages,,Athapascan languages,ath,No,
aus,Australian languages,,Australian languages,aus,No,
awa,Awadhi,अवधी ,Awadhi,awa,No,
bad,Banda languages,,Banda languages,bad,No,
bai,Bamileke languages,,Bamileke languages,bai,No,
bal,Baluchi,,Baluchi,bal,No,
ban,Balinese,,Balinese,ban,No,
bas,Basa,,Basa,bas,No,
bat,Baltic languages,,Baltic languages,bat,No,
bej,Beja; Bedawiyet,,Beja; Bedawiyet,bej,No,
bem,Bemba,,Bemba,bem,No,
ber,Berber languages,,Berber languages,ber,No,
bho,Bhojpuri,,Bhojpuri,bho,No,
bik,Bikol,,Bikol,bik,No,
bin,Bini; Edo,,Bini; Edo,bin,No,
bla,Siksika,,Siksika,bla,No,
bnt,Bantu languages,,Bantu languages,bnt,No,
bra,Braj,,Braj,bra,No,
btk,Batak languages,,Batak languages,btk,No,
bua,Buriat,,Buriat,bua,No,
bug,Buginese,,Buginese,bug,No,
byn,Blin; Bilin,,Blin; Bilin,byn,No,
cad,Caddo,,Caddo,cad,No,
cai,Central American Indian languages,,Central American Indian languages,cai,No,
car,Galibi Carib,,Galibi Carib,car,No,
cau,Caucasian languages,,Caucasian languages,cau,No,
ceb,Cebuano,,Cebuano,ceb,No,
cel,Celtic languages,,Celtic languages,cel,No,
chb,Chibcha,,Chibcha,chb,No,
chg,Chagatai,,Chagatai,chg,No,
chk,Chuukese,,Chuukese,chk,No,
chm,Mari,,Mari,chm,No,
chn,Chinook jargon,,Chinook jargon,chn,No,
cho,Choctaw,,Choctaw,cho,No,
chp,Chipewyan; Dene Suline,,Chipewyan; Dene Suline,chp,No,
chr,Cherokee,ᏣᎳᎩ ᎦᏬᏂᎯᏍ ,Cherokee,chr,No,
chy,Cheyenne,,Cheyenne,chy,No,
cmc,Chamic languages,,Chamic languages,cmc,No,
cnr,Montenegrin,,Montenegrin,cnr,No,
cop,Coptic,,Coptic,cop,No,
cpe,"Creoles and pidgins, English based",,"Creoles and pidgins, English based",cpe,No,
cpf,"Creoles and pidgins, French-based",,"Creoles and pidgins, French-based",cpf,No,
cpp,"Creoles and pidgins, Portuguese-based",,"Creoles and pidgins, Portuguese-based",cpp,No,
crh,Crimean Tatar; Crimean Turkish,,Crimean Tatar; Crimean Turkish,crh,No,
crp,Creoles and pidgins,,Creoles and pidgins,crp,No,
csb,Kashubian,,Kashubian,csb,No,
cus,Cushitic languages,,Cushitic languages,cus,No,
dak,Dakota,,Dakota,dak,No,
dar,Dargwa,,Dargwa,dar,No,
day,Land Dayak languages,,Land Dayak languages,day,No,
del,Delaware,,Delaware,del,No,
den,Slave (Athapascan),,Slave (Athapascan),den,No,
dgr,Dogrib,,Dogrib,dgr,No,
