id,number,root_word,transliteration,pronunciation,tvm,entry
1,H1,&#1488;&#1489;,'a&#770;b,awb,,"A primitive word; <i>father</i>  in a literal and immediate, or figurative and remote application: - chief, (fore-) father ([-less]), X patrimony, principal. Compare names in "" Abi-"""
2,H2,&#1488;&#1489;,'ab,ab,,(Chaldee); corresponding to H1: - father.
3,H3,&#1488;&#1489;,'e&#770;b,abe,,"From the same as H24; a <i>green</i>  plant: - greenness, fruit."
4,H4,&#1488;&#1489;,'e&#770;b,abe,,(Chaldee); corresponding to H3: - fruit.
5,H5,&#1488;&#1489;&#1490;&#1514;&#1488;,'a&#774;bagtha&#770;',ab-ag-thaw',,"Of foreign origin; <i>Abagtha</i>, a eunuch of Xerxes: - Abagtha."
6,H6,&#1488;&#1489;&#1491;,'a&#770;bad,aw-bad',,"A primitive root; properly to <i>wander</i>  away, that is <i>lose</i>  oneself; by implication to <i>perish</i>  (causatively, <i>destroy</i>): - break, destroy (-uction), + not escape, fail, lose, (cause to, make) perish, spend, X and surely, take, be undone, X utterly, be void of, have no way to flee."
7,H7,&#1488;&#1489;&#1491;,'a&#774;bad,ab-ad',,"(Chaldee); corresponding to H6: - destroy, perish."
8,H8,&#1488;&#1489;&#1491;,'o&#770;be&#770;d,o-bade',,Active participle of H6; (concretely) <i>wretched</i>  or (abstractly) <i>destruction: - </i> perish.
9,H9,&#1488;&#1489;&#1491;&#1492;,'a&#774;be&#770;da&#770;h,ab-ay-daw',,"From H6; concretely something <i>lost</i> ; abstractly <i>destruction</i>, that is Hades: - lost. Compare H10."
10,H10,&#1488;&#1489;&#1491;&#1468;&#1492;,'a&#774;baddo&#770;h,ab-ad-do',,"The same as H9, miswritten for H11; a <i>perishing: - </i> destruction."
11,H11,&#1488;&#1489;&#1491;&#1468;&#1493;&#1503;,'a&#774;baddo&#770;n,ab-ad-done',,Intensively from H6; abstractly a <i>perishing</i> ; concretely Hades: - destruction.
12,H12,&#1488;&#1489;&#1491;&#1503;,'abda&#770;n,ab-dawn',,From H6; a <i>perishing: - </i> destruction.
13,H13,&#1488;&#1489;&#1491;&#1503;,'obda&#770;n,ob-dawn',,From H6; a <i>perishing: - </i> destruction.
14,H14,&#1488;&#1489;&#1492;,'a&#770;ba&#770;h,aw-baw',,"A primitive root; to <i>breathe</i>  after, that is (figuratively) to <i>be acquiescent: - </i> consent, rest content, will, be willing."
15,H15,&#1488;&#1489;&#1492;,'a&#770;beh,aw-beh',,From H14; <i>longing: - </i> desire.
16,H16,&#1488;&#1489;&#1492;,'e&#770;beh,ay-beh',,From H14 (in the sense of <i>bending</i>  towards); the <i>papyrus: - </i> swift.
17,H17,&#1488;&#1489;&#1493;&#1497;,'a&#774;bo&#770;y,ab-o'ee,,From H14 (in the sense of <i>desiring</i>); <i>want: - </i> sorrow.
18,H18,&#1488;&#1489;&#1493;&#1468;&#1505;,'e&#770;bu&#770;s,ay-booce',,From H75; a <i>manger</i>  or <i>stall: - </i> crib.
19,H19,&#1488;&#1489;&#1495;&#1492;,'ibcha&#770;h,ib-khaw',,From an unused root (apparently meaning to <i>turn</i>); <i>brandishing</i>  of a sword: - point.
20,H20,&#1488;&#1489;&#1496;&#1468;&#1497;&#1495;,'a&#774;bat&#803;t&#803;&#305;&#770;yach,ab-at-tee'-akh,,Of uncertain derivation; a <i>melon</i>  (only plural): - melon.
21,H21,&#1488;&#1489;&#1497;,'a&#774;b&#305;&#770;y,ab-ee',,"From H1; <i>fatherly</i> ; <i>Abi</i>, Hezekiah's mother: - Abi."
22,H22,&#1488;&#1489;&#1497;&#1488;&#1500;,'a&#774;b&#305;&#770;y'e&#770;l,ab-ee-ale',,"From H1 and H410; <i>father</i>  (that is <i>possessor</i>) <i>of God</i> ; <i>Abiel</i>, the name of two Israelites: - Abiel."
23,H23,&#1488;&#1489;&#1497;&#1488;&#1505;&#1507;,'a&#774;b&#305;&#770;y'a&#770;sa&#770;ph,ab-ee-aw-sawf',,"From H1 and H622; <i>father of gathering</i>  (that is <i>gatherer</i>); <i>Abiasaph</i>, an Israelite: - Abiasaph."
24,H24,&#1488;&#1489;&#1497;&#1489;,'a&#770;b&#305;&#770;yb,aw-beeb',,"From an unused root (meaning to <i>be tender</i>); <i>green</i>, that is a young <i>ear</i>  of grain; hence the name of the month <i>Abib</i>  or Nisan: - Abib, ear, green ears of corn."
25,H25,&#1490;&#1489;&#1506;&#1493;&#1503; &#1488;&#1489;&#1497;,'a&#774;b&#305;&#770;y gib&#8219;o&#770;n,ab-ee' ghib-one',,"From H1 and H1391; <i>father</i>  (that is <i>founder</i>) <i>of Gibon</i> ; <i>Abi-Gibon</i>, perhaps an Israelite: - father of Gibeon."
26,H26,&#1488;&#1489;&#1497;&#1490;&#1497;&#1500; &#1488;&#1489;&#1497;&#1490;&#1500;,'a&#774;b&#305;&#770;ygayil  'a&#774;b&#305;&#770;ygal,"ab-ee-gah'yil, ab-ee-gal'",,"From H1 and H1524; <i>father</i>  (that is <i>source</i>) <i>of joy</i> ; <i>Abigail</i>  or <i>Abigal</i>, the name of two Israelitesses: - Abigal."
27,H27,&#1488;&#1489;&#1497;&#1491;&#1503;,'a&#774;b&#305;&#770;yda&#770;n,ab-ee-dawn',,"From H1 and H1777; <i>father of judgment</i>  (that is <i>judge</i>); <i>Abidan</i>, an Israelite: - Abidan."
28,H28,&#1488;&#1489;&#1497;&#1491;&#1506;,'a&#774;b&#305;&#770;yda&#770;&#8219;,ab-ee-daw',,"From H1 and H3045; <i>father of knowledge</i>  (that is <i>knowing</i>); <i>Abida</i>, a son of Abraham by Keturah: - Abida, Abidah."
29,H29,&#1488;&#1489;&#1497;&#1468;&#1492; &#1488;&#1489;&#1497;&#1468;&#1492;&#1493;&#1468;,'a&#774;b&#305;&#770;ya&#770;h  'a&#774;b&#305;&#770;ya&#770;hu&#770;,"ab-ee-yaw', ab-ee-yaw'-hoo",,"From H1 and H3050; <i>father</i>  (that is <i>worshipper</i>) <i>of Jah</i> ; <i>Abijah</i>, the name of several Israelite men and two Israelitesses: - Abiah, Abijah."
30,H30,&#1488;&#1489;&#1497;&#1492;&#1493;&#1468;&#1488;,'a&#774;b&#305;&#770;yhu&#770;',ab-ee-hoo',,"From H1 and H1931; <i>father</i>  (that is <i>worshipper</i>) of <i>Him</i>  (that is <i>God</i>); <i>Abihu</i>, a son of Aaron: - Abihu."
31,H31,&#1488;&#1489;&#1497;&#1492;&#1493;&#1468;&#1491;,'a&#774;b&#305;&#770;yhu&#770;d,ab-ee-hood',,"From H1 and H1935; <i>father</i>  (that is, <i>possessor</i>) <i>of renown</i> ; <i>Abihud</i>, the name of two Israelites: - Abihud."
32,H32,&#1488;&#1489;&#1497;&#1492;&#1497;&#1500; &#1488;&#1489;&#1497;&#1495;&#1497;&#1500;,'a&#774;b&#305;&#770;yhayil  'a&#774;b&#305;&#770;ychayil,"ab-ee-hah'-yil, ab-ee-khah'-yil",,"(More correct in its second form); from H1 and H2428; <i>father</i>  (that is, <i>possessor</i>) <i>of might</i> ; <i>Abihail</i>  or <i>Abichail</i>, the name of three Israelites and two Israelitesses: - Abihail."
33,H33,&#1492;&#1506;&#1494;&#1512;&#1497; &#1488;&#1489;&#1497;,'a&#774;b&#305;&#770;y ha&#770;&#8219;ezr&#305;&#770;y,ab-ee'-haw-ez-ree',,From H44 with the article inserted; <i>father of the Ezrite</i> ; and <i>Abiezrite</i>  or descendant of Abiezer: - Abiezrite.
34,H34,&#1488;&#1489;&#1497;&#1493;&#1503;,'ebyo&#770;n,eb-yone',,"From H14, in the sense of <i>want</i>  (especially in feeling); <i>destitute: - </i> beggar, needy, poor (man)."
35,H35,&#1488;&#1489;&#1497;&#1468;&#1493;&#1504;&#1492;,'a&#774;b&#305;&#770;yo&#770;na&#770;h,ab-ee-yo-naw',,From H14; provocative of <i>desire</i> ; the <i>caper</i>  berry (from its <i>stimulative</i>  taste): - desire.
36,H36,&#1488;&#1489;&#1497;&#1496;&#1493;&#1468;&#1489;,'a&#774;b&#305;&#770;yt&#803;u&#770;b,ab-ee-toob',,"From H1 and H2898; <i>father of goodness</i>  (that is, <i>good</i>); <i>Abitub</i>, an Israelite: - Abitub."
37,H37,&#1488;&#1489;&#1497;&#1496;&#1500;,'a&#774;b&#305;&#770;yt&#803;al,ab-ee-tal',,"From H1 and H2919; <i>father of dew</i>  (that is, <i>fresh</i>); <i>Abital</i>, a wife of King David: - Abital."
38,H38,&#1488;&#1489;&#1497;&#1468;&#1501;,'a&#774;b&#305;&#770;ya&#770;m,ab-ee-yawm',,"From H1 and H3220; <i>father of</i>  (the) <i>sea</i>  (that is, <i>seaman</i>); <i>Abijam</i>  (or Abijah), a king of Judah: - Abijam."
39,H39,&#1488;&#1489;&#1497;&#1502;&#1488;&#1500;,'a&#774;b&#305;&#770;yma&#770;'e&#770;l,ab-ee-maw-ale',,"From H1 and an elsewhere unused (probably foreign) word; <i>father of Mael</i>  (apparently some Arab tribe); <i>Abimael</i>, a son of Joktan: - Abimael."
40,H40,&#1488;&#1489;&#1497;&#1502;&#1500;&#1498;,'a&#774;b&#305;&#770;ymelek,ab-ee-mel'-ek,,"From H1 and H4428; <i>father of</i>  (the) <i>king</i> ; <i>Abimelek</i>, the name of two Philistine kings and of two Israelites: - Abimelech."
41,H41,&#1488;&#1489;&#1497;&#1504;&#1491;&#1489;,'a&#774;b&#305;&#770;yna&#770;da&#770;b,ab-ee-naw-dawb',,"From H1 and H5068; <i>father of generosity</i>  (that is, <i>liberal</i>); <i>Abinadab</i>, the name of four Israelites: - Abinadab."
42,H42,&#1488;&#1489;&#1497;&#1504;&#1506;&#1501;,'a&#774;b&#305;&#770;yno&#770;&#8219;am,ab-ee-no'-am,,"From H1 and H5278; <i>father of pleasantness</i>  (that is, <i>gracious</i>); <i>Abinoam</i>, an Israelite: - Abinoam."
43,H43,&#1488;&#1489;&#1497;&#1505;&#1507;,'ebya&#770;sa&#770;ph,eb-yaw-sawf',,"Construction from H23; <i>Ebjasaph</i>, an Israelite: - Ebiasaph."
44,H44,&#1488;&#1489;&#1497;&#1506;&#1494;&#1512;,'a&#774;b&#305;&#770;y&#8219;ezer,ab-ee-ay'-zer,,"From H1 and H5829; <i>father of help</i>  (that is, <i>helpful</i>); <i>Abiezer</i>, the name of two Israelites: - Abiezer."
45,H45,&#1488;&#1489;&#1497;&#1470;&#1506;&#1500;&#1489;&#1493;&#1503;,'a&#774;b&#305;&#770;y-&#8219;albo&#770;n,ab-ee al-bone',,"From H1 and an unused root of uncertain derivation; probably <i>father of strength</i>  (that is, <i>valiant</i>); <i>Abialbon</i>, an Israelite: - Abialbon."
46,H46,&#1488;&#1489;&#1497;&#1512;,'a&#770;b&#305;&#770;yr,aw-beer',,From H82; <i>mighty</i>  (spoken of God): - mighty (one).
